,left,query,right
0,2004 This description created by Ruth Sheret 04 August 2023 Relating to the following event Future Forecast 2004 Exploring,key,Issues Within Visual Arts Practice 29-30 January 2004 Newcastle upon Tyne Containing details of presentations event hand outs
1,2003-2004 This description created by Ruth Sheret 04 August 2023 Relating to the following event Future Forecast 2003 Exploring,key,Issues Within Visual Arts Practice 06-07 February 2003 Newcastle upon Tyne Containing a small planning file details of
2,Meeting of 21 January 2002 This description created by Ruth Sheret 04 August 2023 Research objectives To understand artists,key,requirements of membership packages To determine the hierarchy strength of attraction and usefulness of a range of potential
3,membership packages To determine the hierarchy strength of attraction and usefulness of a range of potential benefits To investigate,key,drivers for and barriers to uptake and renewal Research undertaken by woodholmes ksa Market Research Report Membership Packages
4,This description created by Ruth Sheret 04 August 2023 A series of publications 2005 focussing on some of the,key,issues for artists and their practices as they moved into the next decade Designed to raise questions rather
5,created by Ruth Sheret 04 August 2023 Future Forecast was a series of publications focussing on some of the,key,issues for artists and their practices as they moved into the next decade Designed to raise questions rather
6,Trotman-Tasker Collection of Guyanese-Caribbean Literature Typescript of paper entitled 'For Kamau Braithwaite at 85 years old A Quipu of,key,Moments in the 50th Year of our Friendship Review of 'The Trinidad Calypso a Study of the Calypso
7,and promotional poster Talk for panel on 'The Caribbean Artists Movement and its Legacy A Salon Day Discussion with,key,Members of CAM with Artists and Curators Representing a new Caribbean Movemebt in the UK Article on 'The
8,1976 1981 Independent Broadcasting Authority IBA Schools Education in England and Wales 2 December 1976 Independent Broadcasting Authority IBA,key,to IBA Papers 1977 1980 ITV 2 Questions and Answers 1 March 1977 Independent Broadcasting Authority IBA ITV
9,of a copy of this print with the pages removed and held inside the covers There is a ``,key,to fragments '' placed in this and a sticker on the inside `` Offered by Elaine Green Limited
10,recently he has published two long poems GASCOIGNE ’ S EGG 2000 and OMM SETY 2001 and THE HOME,key,Shoestring 2003 He received an award from the Society of Authors to fund research into his next book
11,first few women in South Korea to be published in Munhak kwa jisong Literature and Intellect one of two,key,journals which championed the intellectual and literary movement against the US-backed military dictatorships of Park Chung Hee and
12,Both House of Tongues and Night Toad are Poetry Book Society Recommendations She has also published two novels The,key,Faber 1997 and Little Thing Faber 1998 a short memoir Driving My Father Faber 1995 and a collection
13,Poetry Consists of a list of poems that have been highlighted in different colours that are represented by a,key,Contents is also included List of poems and contents page Consists of a printout of the collection including
14,Publicity file Bill Naughton Neither Use Nor Ornament Consists of two typed title pages with corrections a proof markings,key,a photocopy of a photograph of Bill Naughton with his friend and a corrected page from chapter 6
15,in 1964 by Allan Horsfall and others as the North Western Committee for Homosexual Law Reform It played a,key,part in the campaigns leading up to the decriminalisation of male homosexual activities in 1967 Thereafter it broadened
16,I an illustration and description of how a military shell is made reference to lessons and childhood illnesses a,key,to a code and a South African train ticket Includes letters from Charles and Mary Elsie Clarke Clar
17,in natural philosophy performing post-mortems on his wide range of pets after their natural deaths Understanding anatomical structure was,key,to this curiosity He was also influenced by his wider family as two of his uncles were doctors
18,of dividing the stricture in strangulated hernia on the outside of the sac with cases and drawings C. Aston,key,Charles Aston 1793-1849 1833 view in library catalogue Receipt `` Receipt for The gold-headed cane William Macmichael 1784-1839
19,[She served on the national executive of the National Federation] of Women 's Institutes played a leading role in the Folk Dance and Northumbrian Pipers societies and played a,key,role in the establishment of the Council for the Preservation of Rural England in 1926 becoming a representative
20,[She served on the national executive of the National Federation] of Women 's Institutes played a leading role in the Folk Dance and Northumbrian Pipers societies and played a,key,role in the establishment of the Council for the Preservation of Rural England in 1926 becoming a representative
21,on several UK commissions on medical care of the aged and was an editor or major contributor to two,key,textbooks in the field The Clinical Neurology of Old Age and Textbook of Geriatric Medicine and Gerontology Consists
22,Training Outcomes of the seminar on commissioning for communicable disease control regarding education and training consequences Outline of the,key,players with responsibilities for communicable disease control in England Strategy overview of the remit of the Communicable Disease
23,1999 Agenda proposed timetable and example of the matrix from a planning meeting for the workshops/study day undated And,key,issues arising from the Workshop Communicable Disease Strategy Group Papers__ Workshop __ Consists of papers sent to delegates
24,meeting of this sub group on 10 November 1999 And paper produced by the secretariat entitled 'Discussion Paper Possible,key,Action Areas Diseases and Interventions Communicable Disease Strategy Group Papers__ 7th Meeting __ Consists of papers relating to
25,8 have been used twice Photographs relating to presentation prepared for MARI tenth anniversary lecture List of photos of,historic,computers in envelope The list does not appear to relate to the photographs listed as BR/3/21/3/2 List of
26,is shortlisted for the T.S Eliot Prize As well as freelance teaching and editing work Esther Morgan is currently,historic,Recordings Manager for the Poetry Archive the world 's largest online collection of poets reading their own work
27,and George Lowthian Trevelyan family news domestic matters and life at Rounton Some of the letters show evidence of,historic,pest damage Letters to Mary from Florence Bell Letters include news of Pauline and George Lowthian Trevelyan domestic
28,published in the mid- to late-Twentieth Century for the most part it does contain a significant amount of more,historic,material such as The papers which passed at New-castle betwixt his sacred Majestie and Mr Al Henderson …
29,public unknown Collected by Edwin Clarke 1919-1996 the Clarke General Collection is a run of cuttings illustrations manuscripts and,historic,documents which are organised into two sequences a subject sequence and a biographical sequence.Subjects range from the weather
