,left,query,right
0,Families deprivation and pre-school 1980s Research File Violence in the Family Research File Women and Work Research File A,woman,'s View of the Recession in the North East an event for the British Institute of Management Press
1,Selected Poems 2012 She has published two collections of stories The Lover of Horses 1986 and At the Owl,woman,Saloon 1997 and two books of essays A Concert of Tenses Essays on Poetry 1986 and Soul Barnacles
2,Books Britain 2011 Her first novel Hannie Bennet ’ s Winter Marriage appeared in 2000 her second The Bird,woman,was published in 2006 Kerry Hardie is a member of Aosdána Consists of letters and proofs relating to
3,and proofs relating to the published poetry works of Jane Holland Jane Holland The Brief History of a Disreputable,woman,Consists of a selection of poems held in a envelope labelled `` Hope your headache 's gone ``
4,drawing on these four books She is best-known for her poem 'Warning a dramatic monologue in which a young,woman,talks of her fantasies of old age voted Britain 's favourite modern poem in a BBC poll in
5,First Collection Her second collection Paraphernalia Bloodaxe 2007 was a Poetry Book Society Recommendation Her latest book is The,woman,Who Thought Too Much Atlantic Books 2010 a memoir about OCD anxiety and poetry Consists of letters and
6,Born in Guyana Grace Nichols has lived in Britain since 1977 Her first collection I is a Long Memoried,woman,1983 won the Commonwealth Poetry Prize Her later poetry collections – published by Virago – include The Fat
7,1983 won the Commonwealth Poetry Prize Her later poetry collections – published by Virago – include The Fat Black,woman,’ s Poems 1984 Lazy Thoughts of a Lazy Woman 1989 Sunris 1996 winner of the Guyana Prize
8,– published by Virago – include The Fat Black Woman ’ s Poems 1984 Lazy Thoughts of a Lazy,woman,1989 Sunris 1996 winner of the Guyana Prize and Startling the Flying Fish 2006 poems which tell the
9,that made him famous is his erotic and somewhat fantastical novel The White Hotel 1981 the story of a,woman,undergoing psychoanalysis which has proved very popular in continental Europe and the United States It was short-listed for
10,readings abroad The American poet Tess Gallagher heard her in Spain and was stunned She spoke of `` a,woman,'s voice so carnivorous and tender… her poems yielded a humanly political veracity which did not accede to
11,readings abroad The American poet Tess Gallagher heard her in Spain and was stunned She spoke of `` a,woman,'s voice so carnivorous and tender… her poems yielded a humanly political veracity which did not accede to
12,to Neil Astley regarding the illustrations for the publication Neil Astley has made the note `` inside every fat,woman,'' The illustrations are photocopied with the relevant poems and are attached Letter and Photocopy Consists of a
13,smaller scale colour photographs depict children by an ice cream van an elderly man walking by a wall a,woman,sitting in a doorway a group of children with a dog standing in the street kids playing next
14,child in the doorway people talking outside a row of houses with the windows and doors missing and a,woman,sitting in the doorway with graffiti on the door and the windows smashed The black and white photographs
15,a list of wedding gifts in Mary 's hand including the 'most sublime hideosity a photograph of an unknown,woman,a wedding invitation to Charles parents a copy of the marriage certificate and a list of subscribers to
16,November 15 1915 Also includes discussion of the Munitions Bill with suggested changes including the suggestion to include a,woman,on the committee and reference to the Union of Democratic Control Includes some typescript copies of responses from
17,papers and school ephemera Personal Diaries in particular a short run of Mary 's personal diaries as a young,woman,Official political papers including Cabinet Conclusions draft bills and copies of Hansard Pamphlets and leaflets written by and
18,and papers Some diaries are personal diaries recording Mary 's personal observations and reflections on life as a young,woman,in the late 19th and early 20th centuries 1892-1917 There are also appointment diaries recording Mary 's day
19,relating to family members Personal papers and ephemera Includes a pencil illustration possibly of Florence Bell as a young,woman,drawings made by either Hugh Lowthian Bell Hugo or Mary circa 1888 the cover for a Collins Midget
20,letters from Gordonstoun with reference to his work with Kurt Hahn an account of being asked to marry a,woman,on Samos and locks of George 's hair Letters to Mary from George Includes family news a visit
21,voyage across the Atlantic motivations for those emigrating to Canada breakfasting with General McMaughton her experience as the first,woman,to climb Mount Edith Cavell including an avalanche which occurred during the climb Letters from Katharine in Canada
22,a busy day with chores Charles had a severe attack of gout and she tells the story of a,woman,at the post office worried about her son in the snowstorm Letter from Mary to Florence Mary was
23,at the Dispensary for Women and Children at Blackfriars she went to Newcastle as the city ’ s first,woman,doctor and in 1906 became the first woman to found a general medical practice in the city Having
24,Blackfriars she went to Newcastle as the city ’ s first woman doctor and in 1906 became the first,woman,to found a general medical practice in the city Having signed the Declaration in Favour of Women ’
25,Sides in Germany Which is yours Youth and Anti-Semitism Haile Salassie the Plea for Ethiopia Japanese Naval expansion Chinese,women,and the War and Banking in Soviet Russia Many prominent figures are represented as authors including Marx and
26,draft of talk and related research materials including handwritten notes Paper for seminar on 'Caribbean Novels of Childhood by,women,Twenty Years Since 'Crick Crack Monkey Typescript draft of talk and the accompanying journal 'Wasafiri in which it
27,adult education the care and resettlement of offenders the role of voluntary work young adult unemployment and training and,women,and employment Lady Plowden nee Richmond was a niece of Gertrude Bell and a cousin of the Trevelyans
28,Pre-school Playgroups Association PPA PPA Review Report 1990 Pre-school Playgroups Association PPA PPA Submission to the Ministerial Group of,women,'s Issues Circa early 1990s Pre-school Playgroups Association PPA Report of the Review into the Involvement of Parents
29,1992 Southwark Travellers Action Group The Education of Gypsy and Traveller Children Advert 1992 Hatfield Polytechnic Moving Stories Traveller,women,Write 1992 Southwark Traveller Women 's Group Education Newsletter 1992 Council of Europe Safe Childbirth for Travellers campaign
30,The Education of Gypsy and Traveller Children Advert 1992 Hatfield Polytechnic Moving Stories Traveller Women Write 1992 Southwark Traveller,women,'s Group Education Newsletter 1992 Council of Europe Safe Childbirth for Travellers campaign information 1992 Safe Childbirth for
31,'s IBA files and deal with related issues Living Today 1972 BBC Local Radio Education Patterns of Discrimination Against,women,in the Film and Television Industries 1975 Association of Cinematography and Television Technician Trends in Public Attitudes Toward
32,1979 Broadcast Journal of Educational Television and Other Media Vol 6 Issue 2 Summer 1980 1980 Educational Television Association,women,'s Studies International Quarterly Vol 3 Issue 1 1980 'Women and the Media 1980 Women 's Studies Signposts
33,1980 Educational Television Association Women 's Studies International Quarterly Vol 3 Issue 1 1980 'Women and the Media 1980,women,'s Studies Signposts A Study of Youth Employment and the Relevance of the Broadcasting Services with Particular Reference
34,an Engineering Policy Unit 29281 Department of Mechanical Engineering University of Aston Microprocessors and Their Impact presented at the,women,in Management Conference 1980 March 1980 Women in Management Broadcast Issue 1058 19 May 1980 19 May 1980
35,Mechanical Engineering University of Aston Microprocessors and Their Impact presented at the Women in Management Conference 1980 March 1980,women,in Management Broadcast Issue 1058 19 May 1980 19 May 1980 Broadcast Social Action and the Media published
36,Columbia University London Educational Review Vol 2 No 1 1973 University of London Institute of Education Careers Opportunities for,women,and Girls 1975 Inner London Education Authority Transcript of the Speech of the Rt Hon James Callaghan MP
37,Proposals Review of Area Manpower Boards Chairmen 's Conference 1986 Network Projects Ltd CP Resources Chairmen 's Conference 1987,women,and Employment Correspondence in relation to Lady Plowden 's position as Chairman of the London North Area Manpower
38,Services Manpower Resources 1976 Personal Social Services Council Rathbone News 1977 National Elfrida Rathbone Society Changing the Focus of,women,and FE 1985 Further Education Unit The National Council for Vocational Qualifications Its Purposes and Aims 1985 National
39,Avenue Junior School B name not legible Baird Baldwin Trust Ball Banting Barbrook Barnston Barnston Association Football Club Barnston,women,'s Institute Basildon Bassey Bassingham County Primary School Bassingthwaighte Beckett Bedford Bedford College Bedfordshire County Council Beels Begley
40,Birmingham Birmingham Educational Priority Area Project Birmingham Head Teachers Association Bishop Grosseteste College Lincoln Black Black Blackfriars Settlement formerly,women,'s University Settlement Bland Bolton Borough Teachers Association Band Border Television Ltd. Bourne Boyle Boyson B.P.W United Kingdom
41,Bolton Borough Teachers Association Band Border Television Ltd. Bourne Boyle Boyson B.P.W United Kingdom Federation of Business and Professional,women,Bradford Bramall Bratby Breakthrough Trust Deaf-Hearing Group Briault Brighouse Brierley Brierley Bristol The United Bristol Hospitals British Academy
42,Centres British Board of Film Censors B.B.C British Broadcasting Corporation British Council British Dyslexia Association British Federation of University,women,British Institute of Management British Satellite Broadcasting Ltd. British University Summer Schools British Videograms Association British Waterways Board
43,on the Plowden Report Children in Crisis Childrens House Society Childrens Legal Centre Childrens Society Children Radio Ltd. Cheswick,women,'s Aid Chorlton Church Christ Church Primary School Christian Schiller Christopher Marlowe School Church Mead Junior School City
44,and Guilds of London Institute Civil Service College Clapton Park School Clarendon Clegg CRAWC Cleveland Refuge and Aid for,women,and Children Co-Operative College Cobbold Cobourg School Cockburn Cole Coleg Harlech College of Education College of Preceptors Collingwood
45,Research National Gypsy Education Council National Institute for Social Work Training National Marriage Guidance Council NOWME National Organisation for,women,'s Management Education NPFA The National Playing Fields Association The National Society NSPCC National Society for the Prevention
46,University Operation Drake Fellowship Oral Hygiene OPUS Organisation for Promoting Understanding in Society Osborn Osbourne Oxford Pre-School Research Oxford,women,'s Luncheon Club Oxfordshire County Council Paddington College Amateur Radio Society Palmer Palmer Parent Line Parents Anonymous Croydon
47,Democratic Party College of St. Mark and St. Johns Socialist Society Mr. Gray Society for Promoting the Training of,women,STOPP Society of Teachers Opposed to Physical Punishment Sofer SSAFA Soliders Sound Broadcasting and Education Conference South Bank
48,Wickham Wigley Wild Wilkinson William Blake School Blackman William Plowden Williams Williams Wilson Wiltshire County council Windlesham Winks Woburn,women,'s Network Wolverhampton Head Teachers Association Women in Entertainment Women in Media Women in Motoring Women 's Broadcasting
49,Blackman William Plowden Williams Williams Wilson Wiltshire County council Windlesham Winks Woburn Women 's Network Wolverhampton Head Teachers Association,women,in Entertainment Women in Media Women in Motoring Women 's Broadcasting and Film Lobbey The Women 's Council
50,Head and We Animals Would Like a Word with You Bodley Head which won a Smarties Award Einstein The,girl,Who Hated Maths a collection inspired by mathematics and Hello H2O a collection inspired by science were published
51,In 1993 she held a Hawthornden International Fellowship She has published three books of poems with Bloodaxe The Peepshow,girl,1989 and Raiding the Borders 1996 both under her former name of Marion Lomax and New Wings Poems
52,2003 Consists of letters and proofs relating to the published poetry works of Robyn Bolam Robyn Bolam The Peepshow,girl,Consists of a Bloodaxe Books information sheet introducing the author and the publication and a mock-up of the
53,Tracks with the Dennis Bovell Dub Band and Riding On De Riddym selected spoken works 57 Productions Third World,girl,Selected Poems with DVD is published by Bloodaxe in 2011 She has performed her work throughout the world
54,'s Proof Consists of a Bloodaxe Books information sheet introducing the author and the publication Information sheet Third World,girl,Full colour jacket cover proof Jacket cover proof The Fifth Figure A Poet 's Tale Consists of a
55,In 1993 she held a Hawthornden International Fellowship She has published three books of poems with Bloodaxe The Peepshow,girl,1989 and Raiding the Borders 1996 both under her former name of Marion Lomax and New Wings Poems
56,2003 Consists of letters and proofs relating to the published poetry works of Marion Lomax Marion Lomax The Peepshow,girl,Consists of a printout with annotations by Neil Astley in red ink regarding layout and style There are
57,and red ink The title page has been changed from `` The Forked Tree '' to `` The Peepshow,girl,'' There is an insert of the poem `` Emily '' this is typed and there is a
58,Consists of a reject setting for `` The Forked Tree '' to the changed to `` The Peep Show,girl,'' The proof is cut into small sections Rejected Setting Consists of correspondence regarding the publication editing artwork
59,The boy 's adventure book 1935 The Flying Five and other stories of adventure and school life 1936 and,girl,'s fun annual 1952 Burnett Mark Collection Sir Charles Edward Trevelyan was born in Nettlecombe Dorset to George
60,open door Timetable of lessons with watercolour background Colour illustrated story showing peg dolls taking revenge on a little,girl,for her bad behaviour The images are printed and have been cut from an unknown source painted in
61,Mary The children are well and out riding They are going to Stockton to shop and Elsie registered the,girl,Guides Postcard from Elsie Clarke to Mary Elsie is glad the Trevelyans enjoyed Rome She thinks Marjorie will
62,'s governess about their development and lessons Pauline and George Lowthian starting school domestic matters and plans for the,girl,guides One of the letters is torn into two pieces Also includes letters from Anna M Philips and
63,Florence Bell Bridget Richmond and Caroline Trevelyan Includes reference to the World War I politics family news and Cambo,girl,Guides Letters to Pauline and George Lowthian Trevelyan Letters to the children while at School from Charles and
64,from Cambo and the Bicknell children reference to Katharine Kitty Trevelyan 's sleepwalking and school attendance reference to the,girl,Guides and her work at Malvern College Mission London Also includes letters dictated by the children to Elsie
65,letter from George Macaulay Trevelyan to Kitty Letters to the Trevelyan children from various correspondents Includes information on the,girl,guides current events the end of World War I family news domestic matters news from Sidcot School including
66,Mary Cambo Northumberland Concerns news of Kitty 's health tracking and drilling in the garden with Pauline and the,girl,Guides Morris Dancing lessons for the children and George 's weight gain after illness Letter from Elsie Clarke
67,the new maid Letter from Elsie Clarke to Mary Morningside Park Avenue Watford Concerns news of the children the,girl,Guides and 'Bella not having done the Second Class Tests Letter from Elsie Clarke to Mary Morningside Park
68,Marjorie scolding and slapping the faces of the other children if she is displeased with them and Bella 's,girl,Guides work Letter from Elsie Clarke to Mary Morningside Park Avenue Watford Concerns news of the children a
69,Morningside Park Avenue Watford Concerns news of the children a visit to the swimming baths the Watford and Cambo,girl,Guides plans for the Exhibition and working with 'Bella Letter from Elsie Clarke to Mary Morningside Park Avenue
70,Mary Morningside Park Avenue Watford Concerns news of the children plans to visit London Pauline 's visit to the,girl,Guides where she learned bandaging how to treat burns and Swedish drills Letter from Elsie Clarke to Mary
71,of the children and their lessons playing rounders with the Richmond children plans for a new atlas for the,girl,Guides Letter from Elsie Clarke to Mary Rounton Grange Northallerton Concerns news of the Trevelyan and Richmond children
72,of Pauline and Kitty 's health a visit from the doctor and plans for Elsie to speak to the,girl,Guides Letter from Elsie Clarke to Mary Rounton Grange Northallerton Concerns Pauline George and Kitty 's lessons Mary
73,Elsie Clarke to Mary Cambo Northumberland Concerns news of Pauline and Kitty 's improved health Mrs Adamson teaching the,girl,Guides nrusing and physiology plans for the Girl Guides while Elsie is away Letter from Elsie Clarke to
74,of Pauline and Kitty 's improved health Mrs Adamson teaching the Girl Guides nrusing and physiology plans for the,girl,Guides while Elsie is away Letter from Elsie Clarke to Mary Letters to Pauline George Lowthian and Katharine
75,London Educational Review Vol 2 No 1 1973 University of London Institute of Education Careers Opportunities for Women and,girls,1975 Inner London Education Authority Transcript of the Speech of the Rt Hon James Callaghan MP at the
76,Children Co-Operative College Cobbold Cobourg School Cockburn Cole Coleg Harlech College of Education College of Preceptors Collingwood School for,girls,Colts Kindergarten Committee of Inquiry into Teachers Pay Community Relations Commission CSV Community Service Volunteers The Comprehensive Myth
77,Comprehensive School Liverpool 1969 Prizegiving William Blake 1969 Prizegiving King Edward VI School Chelmsford 1969 Prizegiving Collingwood School for,girls,1969 Environmental Studies Exhibition 1969 Julian 's Primary School Parents Meeting 1969 Home and School Modern Infant Education
78,Bradshaw detective series set in Saratoga Springs and the celebrated Cold Dog Soup His novel The Church of Dead,girls,"published by Viking has sold over 120,000 copies in Britain His last novel Boy in the Water was"
79,Photographs Manchester and Salford Consists of a black and white photograph of Moss Side in Manchester displaying two young,girls,and an old man playing with a skipping rope Photograph Consists of a black and white photograph of
80,elderly men pointing and greeting each other in the street Photograph Consists of a colour photograph of two young,girls,playing on a swing rope taken in Hulme Photograph Consists of two large black and white photographs taken
81,the foreword of the publication plus Shirley Baker 's biographic information Publicity file Consists of a photograph of two,girls,playing in Hulme Photograph Consists of black and white photograph of a fallen down tree in front of
82,regarding family news and a trip to Manche Lydia Graham regarding life in Manchester and her position at Cowley,girls,School Elsie Clarke describing a Guide camp attended by Florence Patricia Trevelyan Florence Lister regarding the health of
83,disposal of Caroline Trevelyan 's jewels from Jennie Browell regarding Women 's Institute events Lydia Graham at the Cowley,girls,School and Peter Bicknell during a visit to Kurt Hahn 's school at Salem Also includes a newsletter
84,Queen Victoria visits to Wallington and Redcar their relationship Mary 's reluctance towards Charles and a description of a,girls,club in Middlesbrough run by Elsa Bell Letters to Charles from Mary Envelope with annotations which reference a
85,she will be attending given by Gertrude Bell at the Convalescent House Letter from Mary to Charles Concerning a,girls,club at Clarence Club attended by Gertrude Bell and Elsa Bell what she has been reading and British
86,the recipient and for being late Calling card from Geoffrey Winthrop Young Concerning showing photographs of Charles to the,girls,at the Clarence Club and thinking of their relationship and future together Letter from Mary to Charles Concerning
87,from Lilian Tose to Mary Cambo Concerns news of the children George is recovering from chicken pox and the,girls,being in good health Letter from Lilian Tose to Mary Cambo George has recovered from chicken pox the
88,girls being in good health Letter from Lilian Tose to Mary Cambo George has recovered from chicken pox the,girls,have not caught it the weather is turning colder and the children need new gloves Letter from Lilian
