description_id,eadid,field,rowid,adj_count,adv_count
0,17th C. Coll,bioghist,17th C. Coll,1.0,1.0
1,17th C. Coll,scopecontent,17th C. Coll,7.0,1.0
2,17th C. Coll,unittitle,17th C. Coll,1.0,0.0
3,18th C. Coll,bioghist,18th C. Coll,1.0,1.0
4,18th C. Coll,scopecontent,18th C. Coll,7.0,1.0
5,18th C. Coll,unittitle,18th C. Coll,1.0,0.0
6,19th C. Coll,bioghist,19th C. Coll,1.0,1.0
7,19th C. Coll,scopecontent,19th C. Coll,19.0,3.0
8,19th C. Coll,unittitle,19th C. Coll,1.0,0.0
9,20th C. Coll,bioghist,20th C. Coll,1.0,1.0
10,20th C. Coll,scopecontent,20th C. Coll,13.0,3.0
11,20th C. Coll,unittitle,20th C. Coll,1.0,0.0
12,20th C. Pam,bioghist,20th C. Pam,1.0,1.0
13,20th C. Pam,scopecontent,20th C. Pam,9.0,2.0
14,20th C. Pam,unittitle,20th C. Pam,1.0,0.0
15,21st C. Coll.,bioghist,21st C. Coll.,1.0,1.0
16,21st C. Coll.,scopecontent,21st C. Coll.,18.0,2.0
17,21st C. Coll.,unittitle,21st C. Coll.,1.0,0.0
18,AC Poetry Coll.,bioghist,AC Poetry Coll.,14.0,1.0
19,AC Poetry Coll.,scopecontent,AC Poetry Coll.,1.0,0.0
22,AN,scopecontent,AN,3.0,0.0
23,AN,unittitle,AN,1.0,0.0
26,AN,unittitle,AN-00001,1.0,0.0
34,AN,unittitle,AN-00004,1.0,0.0
36,AN,unittitle,AN-00005,1.0,0.0
41,AN,scopecontent,AN-00007,1.0,0.0
44,AN,unittitle,AN-00008,1.0,0.0
46,AN,scopecontent,AN-00009,2.0,0.0
49,AN,scopecontent,AN-00010,1.0,0.0
50,AN,unittitle,AN-00010,3.0,0.0
59,AN,unittitle,AN-00015,1.0,0.0
61,AN,scopecontent,AN-00016,2.0,0.0
64,AN,scopecontent,AN-00017,2.0,1.0
65,AN,unittitle,AN-00017,1.0,0.0
67,AN,scopecontent,AN-00018,2.0,1.0
68,AN,unittitle,AN-00018,1.0,0.0
70,AN,scopecontent,AN-00019,1.0,0.0
71,AN,unittitle,AN-00019,1.0,0.0
73,AN,scopecontent,AN-00020,3.0,2.0
74,AN,unittitle,AN-00020,2.0,0.0
76,AN,scopecontent,AN-00021,3.0,2.0
77,AN,unittitle,AN-00021,2.0,0.0
79,AN,scopecontent,AN-00022,3.0,2.0
82,AN,scopecontent,AN-00023,3.0,1.0
83,AN,unittitle,AN-00023,1.0,0.0
85,AN,scopecontent,AN-00024,3.0,2.0
86,AN,unittitle,AN-00024,2.0,0.0
99,AN,unittitle,AN-00029,1.0,0.0
102,AN,unittitle,AN-00030,1.0,0.0
104,AN,scopecontent,AN-00031,4.0,0.0
105,AN,unittitle,AN-00031,3.0,0.0
107,AN,scopecontent,AN-00032,3.0,0.0
