token,count
mid-twentieth,5385
key,3680
historic,3650
influential,3610
notable,3099
significant,2602
academic,2355
successful,2347
polar,2312
public,2124
such,2007
recent,1998
British,1943
several,1910
partial,1906
professional,1901
major,1870
distinctive,1806
post-war,1805
remarkable,1802
accessible,1802
"""'New""",1800
aesthetic,1798
scholarly,1797
all-time,1796
widely-read,1795
new-wave,1795
polemical,1795
other,1654
military,1616
first,1284
large,1153
many,995
early,945
main,935
further,841
individual,816
scientific,816
Many,799
wide,790
Most,789
broad,782
geological,782
injured,778
expedition,771
test-bed,770
non-military,770
1955-1958,770
parachute,770
Trans-Antarctic,770
various,708
following,663
urban,657
black,652
new,606
present,599
incorporated,556
white,515
original,504
general,427
short,409
red,400
small,393
personal,316
blue,297
political,280
Clean,268
printed,253
local,246
clean,232
mixed,231
library,231
Personal,227
social,218
watercolour,213
medical,212
different,205
cover,203
Congratulatory,202
French,178
second,178
photograph,175
previous,166
external,164
detailed,163
specific,163
unknown,159
final,158
photocopied,141
related,141
architectural,140
English,139
German,138
additional,137
own,136
digital,134
Other,133
a-n,133
typescript,133
international,127
annotated,125
handwritten,125
latest,123
young,122
internal,122
Material,122
potential,120
more,120
available,120
due,119
national,116
undated,111
Working,111
financial,110
Russian,110
x,108
Second,107
literary,106
special,106
domestic,105
American,104
"""'The""",101
residential,101
historical,101
full,99
memorial,98
Annual,98
particular,95
Local,95
possible,94
associated,92
single,91
Original,90
official,89
clear,89
miscellaneous,88
last,88
former,87
1978-1981,87
same,87
Dent,86
translated,86
editorial,84
initial,83
annual,82
structural,81
photographs,81
s,80
Special,78
contemporary,76
20th,76
long,75
old,74
Good,73
religious,72
next,71
Miscellaneous,71
third,69
Various,69
European,69
Mixed,69
Green,68
current,68
later,68
Indian,67
promotional,67
ready,67
immediate,66
natural,66
CD-R,65
acrylic,65
preliminary,65
Scottish,65
unpublished,64
south,64
interior,63
good,63
separate,63
central,62
Irish,61
Partial,61
likely,60
complete,59
photographic,58
high,58
upcoming,58
subsequent,57
future,56
added,56
working,56
late,55
soft,54
monthly,52
Last,52
most,51
2000-2002,51
unclear,50
numerous,50
Promotional,50
loose,49
Diary,49
front,48
human,48
Residential,47
rough,47
Large,47
incomplete,47
Communicable,47
important,47
fellow,46
Preliminary,46
private,46
north,45
brief,45
wooden,45
top,45
novel,44
patient,44
cultural,44
unidentified,44
industrial,43
proposed,43
typed,43
modern,43
lower,43
negative,43
journal-style,42
Liberal,42
open,42
regional,42
creative,42
Medical,42
context,41
few,41
archive,40
clinical,40
earlier,40
alternative,40
green,39
1993-1994,39
honorary,39
summary,39
untitled,38
able,38
much,38
active,38
multiple,38
Third,38
material,38
great,38
technical,37
“,37
Watercolour,37
Lower,37
west,37
colour,37
biographical,37
External,37
critical,37
unnamed,36
best,36
diary,36
Brief,36
legal,36
poet,35
visual,35
theatre,35
Architectural,35
dated,35
abstract,35
older,34
foreign,34
Guardian,34
presumed,34
pedestrian,34
independent,34
suggested,34
certain,33
overall,33
prepared,33
funeral,33
post-it,32
whole,32
joint,32
2006-2007,32
poor,32
musical,32
commercial,32
‘,32
Early,31
Dead,31
Western,31
African,31
refs,31
unable,31
forest,30
agricultural,30
administrative,30
similar,30
rare,30
flat,30
Scale,29
attached,29
environmental,29
mock-up,29
manuscript,29
enclosed,29
ten,29
ill,29
atmospheric,28
Title,28
2005-2006,28
email,28
