token_lower,count
mid-twentieth,5386
key,3686
historic,3650
influential,3610
notable,3099
significant,2602
academic,2356
successful,2349
polar,2312
public,2144
such,2010
recent,2001
partial,1967
british,1943
several,1933
professional,1908
major,1876
distinctive,1806
post-war,1805
accessible,1802
remarkable,1802
"""'new""",1801
aesthetic,1798
scholarly,1797
all-time,1796
new-wave,1795
widely-read,1795
polemical,1795
many,1794
other,1787
military,1628
first,1311
large,1200
early,976
main,935
further,858
most,840
individual,819
scientific,816
wide,790
broad,782
geological,782
injured,778
various,777
expedition,771
trans-antarctic,770
parachute,770
non-military,770
1955-1958,770
test-bed,770
following,663
urban,663
black,652
new,606
present,599
original,594
incorporated,556
personal,543
white,515
clean,500
general,450
short,426
small,414
red,410
local,341
mixed,300
blue,297
political,292
second,285
printed,254
medical,254
watercolour,250
library,233
social,218
different,206
cover,203
congratulatory,202
external,201
french,185
special,184
final,181
annual,180
photograph,175
detailed,175
architectural,175
previous,169
working,167
specific,163
material,160
unknown,160
miscellaneous,159
residential,148
additional,145
related,142
photocopied,142
german,141
last,140
annotated,140
english,139
own,137
financial,136
good,136
digital,134
typescript,133
a-n,133
more,129
international,127
handwritten,125
latest,123
internal,123
available,122
due,122
young,122
potential,121
promotional,117
national,116
"""'the""",115
historical,112
undated,111
preliminary,111
russian,110
literary,110
x,108
green,107
third,107
initial,107
domestic,106
structural,105
american,104
official,101
memorial,101
full,99
editorial,98
particular,97
possible,97
associated,92
single,91
former,90
clear,90
same,87
1978-1981,87
long,87
dent,86
translated,86
diary,85
contemporary,84
next,82
brief,81
photographs,81
south,80
lower,80
s,80
photographic,79
20th,76
central,76
old,75
religious,74
complete,70
later,69
european,69
current,68
indian,67
natural,67
ready,67
high,66
interior,66
immediate,66
scottish,65
unpublished,65
cd-r,65
acrylic,65
separate,63
north,62
irish,61
late,61
loose,61
likely,61
subsequent,58
upcoming,58
untitled,58
regional,57
future,57
visual,56
soft,56
added,56
monthly,56
dead,55
communicable,55
creative,55
technical,54
incomplete,53
clinical,53
numerous,52
pedestrian,51
private,51
2000-2002,51
rough,50
open,50
unclear,50
cultural,50
modern,49
negative,49
unidentified,49
human,48
wooden,48
earlier,48
front,48
honorary,47
top,47
important,47
patient,47
fellow,46
environmental,46
liberal,45
archive,45
proposed,44
black-and-white,44
biographical,44
summary,44
novel,44
industrial,43
typed,43
daily,43
alternative,42
much,42
journal-style,42
scale,41
active,41
little,41
few,41
best,41
context,41
title,40
colour,40
multiple,40
parliamentary,40
1993-1994,39
happy,39
critical,39
great,39
legal,38
enclosed,38
west,38
able,38
aerial,37
western,37
independent,37
“,37
older,36
guardian,36
unnamed,36
joint,36
commercial,36
foreign,35
dated,35
theatre,35
poet,35
abstract,35
electrical,34
presumed,34
suggested,34
administrative,33
flat,33
whole,33
prepared,33
funeral,33
overall,33
certain,33
‘,32
poor,32
musical,32
2006-2007,32
primary,32
post-it,32
unable,31
retail,31
african,31
agricultural,31
informal,31
refs,31
free,30
mock-up,30
antiquarian,30
forest,30
rare,30
similar,30
artistic,30
manuscript,29
responsible,29
attached,29
ten,29
ill,29
atmospheric,29
2005-2006,28
1960-75,28
email,28
past,28
mary,27
unfinished,27
unscaled,27
overseas,27
female,27
journal,27
2007-2008,27
typical,27
positive,26
circular,26
bad,26
website,26
edited,26
strong,26
forthcoming,26
"""'harvest""",26
folded,25
economic,25
italian,25
hand-coloured,25
1991-1992,25
cd-roms,25
younger,25
regular,25
embankment,25
extensive,25
seismic,25
updated,25
chinese,24
1980-1981,24
2001-2002,24
proof,24
northumbrian,24
popular,24
adhesive,24
prominent,24
formal,24
east,24
ref,23
wp,23
revised,23
rear,23
archiectural,23
lilian,23
1-6,23
poetic,23
only,23
perspective,23
greek,23
common,23
greatest,23
civil,23
classical,23
book-length,22
text,22
guest,22
northern,22
gulbenkian,22
object,21
fourth,21
obituary,21
client,21
julian,21
mechanical,21
audio,21
schematic,21
collected,21
strategic,21
unsigned,21
big,20
global,20
file,20
comprehensive,20
cold,20
botanical,20
enlarged,20
21st,20
weekly,20
senior,20
naval,19
commemorative,19
seated,19
australian,19
sexual,19
higher,19
unwell,19
unsuccessful,19
smaller,19
blank,19
signed,19
back,19
prestigious,18
golden,18
educational,18
electronic,18
double,18
descriptive,18
spanish,18
"""'honesty""",18
scaled,18
coloured,18
archaeological,18
horn,18
surgical,18
comic,18
japanese,18
2005-2007,18
2000-2001,18
1996-8,17
autobiographical,17
rural,17
upper,17
poems,17
phased,17
interested,17
gillian,17
masterplan,17
’,17
numbered,17
labour,17
hard,17
better,17
floppy,17
2002-2003,17
secondary,17
swiss,16
physical,16
subject,16
extra,16
legible,16
lengthy,16
undertaken,16
low,16
provisional,16
elderly,16
dry,16
1997-1998,16
anniversary,16
2003-2004,16
19th,16
alive,15
unspecified,15
1-4,15
axonometric,15
total,15
sustainable,15
greater,15
radical,15
collaborative,15
temporary,15
reject,15
illustrated,15
illustrative,15
cd-rom,15
light,15
live,15
librarian,15
square,15
substantial,15
belgian,15
birthday,15
leading,15
1992-1993,15
voluntary,15
royal,15
organ,14
fish,14
fine,14
1-3,14
exterior,14
botany,14
content,14
limited,14
entitled,14
2002-2006,14
rich,14
relevant,14
proofs,14
re-development,14
1865-1898,14
net,14
hand-written,14
busy,14
2004-2005,14
distinct,13
underground,13
oral,13
effective,13
soviet,13
ill-starred,13
2003-2005,13
advanced,13
unnumbered,13
larger,13
lady,13
essential,13
comparative,13
1996-1998,13
50th,13
close,13
corporate,13
conservative,12
cambourne,12
two-light,12
experimental,12
practical,12
1990-1991,12
native,12
explicit,12
famous,12
illegible,12
2009-2010,12
favourite,12
swedish,12
table,12
pencil,12
1985-1986,12
floorplan,12
traditional,12
contextual,12
fifteen,12
ruined,12
1993-1995,12
"""'british""",12
direct,12
postal,12
nee,12
arithmetic,12
correct,12
yellow,12
prose,12
keen,12
noted,12
proper,12
"""'caribbean""",12
1984-1985,11
2008-2009,11
basic,11
acceptable,11
listed,11
spatial,11
2004-2006,11
largest,11
ink,11
outline,11
1992-1995,11
jewish,11
simple,11
adrian,11
nineteenth,11
statistical,11
nineteenth-century,11
update,11
polish,11
2002-2004,11
"""'northern""",11
electric,11
danish,11
eventual,11
inner,10
installed,10
redevelopment,10
adjacent,10
male,10
u,10
interim,10
romanian,10
introductory,10
three-light,10
posthumous,10
2001-2003,10
reduced,10
storey,10
ecological,10
dramatic,10
best-known,10
art,10
renowned,10
_the,10
design,10
published,10
decorative,10
brown,10
required,10
founding,10
1986-1987,10
gay,10
mental,10
right,10
advisory,10
1996-1997,10
grand,10
pandemic,10
conscientious,10
pen,10
1979-1980,10
1994-1995,10
chronological,10
expert,10
improved,10
sharp,10
impossible,10
award-winning,10
profile,10
permanent,10
dear,10
solar,9
mythological,9
"""'nurse""",9
municipal,9
speculative,9
mathematical,9
southern,9
married,9
socialist,9
bible,9
lighter,9
lh-o/a-,9
visible,9
beautiful,9
victorian,9
variable,9
useful,9
complex,9
considerable,9
controversial,9
corrected,9
westbourne,9
detachable,9
difficult,9
e-mail,9
entire,9
façade,9
funded,9
genealogical,9
2004-2008,9
inaugural,9
supplement,9
integrated,9
ironic,9
2006-2008,9
stained,9
less,9
retrospective,9
lesbian,9
outstanding,9
14-19,9
prospective,9
project,9
programme,9
sister,9
sad,9
sixteen,9
