token,count
also,4129
most,2661
Also,2059
more,1880
particularly,1867
primarily,1827
ever,1810
earlier,1804
markedly,1795
Furthermore,1795
hugely,1795
later,1782
Letter,1706
well,1278
largely,819
too,797
As,787
not,786
Perhaps,772
as,516
mainly,179
Family,163
Mostly,156
then,151
together,147
now,133
possibly,111
only,105
originally,105
first,99
"""n't""",79
yet,76
very,76
previously,74
back,72
so,69
specifically,68
Very,63
Not,61
First,58
mostly,57
Originally,54
Here,51
still,51
presumably,46
approximately,44
Core,44
recently,44
separately,40
however,40
Mainly,38
subsequently,38
further,36
Now,36
formerly,35
up,34
potentially,33
just,33
again,32
often,32
away,31
predominantly,29
much,29
currently,29
soon,27
prior,26
abroad,26
directly,26
heavily,26
regularly,25
However,25
alphabetically,24
probably,24
here,24
rather,23
initially,23
newly,22
once,22
nee,21
already,21
forward,20
sometimes,20
highly,19
never,19
Later,19
early,18
better,18
Vol,18
eventually,18
•,18
widely,18
there,18
generally,17
finally,16
fully,16
elsewhere,16
far,16
twice,15
always,15
instead,15
internationally,15
no,14
respectively,14
down,14
Then,13
notably,13
long,13
almost,13
usually,13
shortly,13
Finally,13
longer,12
likely,12
Early,12
Possibly,12
extensively,12
Additionally,11
Largely,11
Primarily,11
partially,11
Together,11
entirely,11
ahead,11
virtually,10
jointly,10
ref,10
Only,10
Initially,10
especially,10
smartly,9
actively,9
alongside,9
nearly,9
late,9
chronologically,9
apparently,9
explicitly,9
immediately,8
along,8
less,8
quite,8
about,8
therefore,8
frequently,8
alone,8
Back,7
thereafter,7
closely,7
award,7
completely,7
perhaps,7
politically,7
posthumously,7
really,7
Likely,6
out,6
around,6
else,6
names,6
episode,6
Close,6
Further,6
cover,6
best,6
Firstly,6
slightly,5
Formerly,5
Notebooks,5
even,5
publicly,5
actually,5
partly,5
deeply,5
overseas,5
commonly,5
Molly,5
clearly,5
latterly,5
née,5
significantly,5
otherwise,5
Still,5
Secondly,5
variably,5
Printout,4
locally,4
ago,4
More,4
Indeed,4
apart,4
notice,4
typically,4
necessarily,4
badly,4
loose,4
centrally,4
