token_lower,count
also,6188
most,2661
more,1884
particularly,1868
primarily,1838
ever,1810
earlier,1804
later,1801
furthermore,1795
hugely,1795
markedly,1795
letter,1706
as,1303
well,1280
not,847
largely,830
too,797
perhaps,779
mainly,217
mostly,213
now,169
then,164
family,163
originally,159
together,158
first,157
very,139
possibly,123
only,115
back,79
"""n't""",79
yet,77
previously,75
here,75
so,73
specifically,68
however,65
still,56
presumably,49
core,44
approximately,44
recently,44
further,42
separately,40
formerly,40
subsequently,38
just,36
up,34
potentially,34
initially,33
away,33
often,32
predominantly,32
again,32
currently,31
heavily,30
early,30
finally,29
much,29
regularly,27
soon,27
directly,27
probably,26
once,26
abroad,26
prior,26
rather,25
alphabetically,24
newly,23
already,21
nee,21
never,20
forward,20
sometimes,20
highly,19
better,19
instead,18
elsewhere,18
widely,18
eventually,18
vol,18
•,18
there,18
likely,18
generally,18
fully,17
no,17
twice,16
far,16
long,16
internationally,15
always,15
down,14
shortly,14
respectively,14
nearly,13
usually,13
smartly,13
extensively,13
notably,13
almost,13
additionally,12
entirely,12
longer,12
ahead,11
apparently,11
partially,11
jointly,10
close,10
ref,10
especially,10
virtually,10
alongside,9
late,9
about,9
explicitly,9
chronologically,9
actively,9
quite,8
frequently,8
alone,8
less,8
therefore,8
immediately,8
thereafter,8
along,8
firstly,8
really,8
completely,7
closely,7
politically,7
posthumously,7
award,7
around,7
actually,6
overseas,6
cover,6
best,6
secondly,6
episode,6
out,6
names,6
slightly,6
else,6
publicly,5
clearly,5
printout,5
even,5
notebooks,5
partly,5
deeply,5
significantly,5
née,5
indeed,5
otherwise,5
eleven,5
molly,5
loose,5
"""'only""",5
commonly,5
locally,5
latterly,5
variably,5
apart,5
right,4
seriously,4
notice,4
north,4
ago,4
relatively,4
necessarily,4
sexually,4
file,4
a-n,4
typically,4
either,4
individually,4
pretty,4
provisionally,4
differently,4
postcard,4
centrally,4
easily,4
commercially,4
badly,4
predictably,4
socially,3
specially,3
somewhat,3
ffirst,3
proofs,3
fere,3
namely,3
properly,3
fairly,3
extremely,3
formally,3
frere,3
strongly,3
hard,3
ill,3
intensely,3
vehemently,3
jan-july,3
"""'farrell""",3
lady,3
underway,3
severely,3
greatly,3
lightly,3
"""'more""",3
thereby,3
proactively,3
massively,3
piccadilly,3
seemingly,3
seven,3
sally,3
ecopoems,3
effectively,3
aside,3
double,3
over,3
officially,3
emily,3
enough,3
aesthetically,3
observer,3
dolly,3
nowhere,3
annually,3
occasionally,3
deliberately,3
exclusively,3
securely,3
nevertheless,3
personally,3
quickly,3
usefully,2
leather,2
privately,2
ultimately,2
lately,2
undertaken,2
nearby,2
poorly,2
refs,2
unwell,2
jolly,2
reply,2
twice-nightly,2
variously,2
oliver,2
regretfully,2
intricately,2
physically,2
vertically,2
visually,2
writer,2
picadilly,2
ye,2
”,2
nd,2
trevelyan,2
naturally,2
mother,2
perfectly,2
prominently,2
solely,2
quietly,2
morally,2
profoundly,2
nov,2
mentally,2
sphere,2
strikingly,2
maybe,2
rarely,2
s,2
simultaneously,2
successfully,2
swarthmore,2
technically,2
thirdly,2
tightly,2
presumedly,2
roughly,2
lonely,2
off,2
little,2
orginally,2
kindly,2
broadly,2
globally,2
generously,2
"""'here""",2
"""'silly""",2
"""'the""",2
famously,2
"""'water""",2
externally,2
exactly,2
ewd,2
equally,2
academically,2
e,2
address,2
aere,2
aggressively,2
all,2
cuttingly,2
amongst,2
constantly,2
approx,2
architecturally,2
collectively,2
art,2
carefully,2
assumedly,2
brittle,2
barely,2
genetically,2
experience,2
because,2
home,2
"""'early""",2
"""'gateway""",2
humanly,2
high,2
seperately,1
"""'desperately""",1
adequately,1
aesthtically,1
seldom,1
afterwards,1
accoucher,1
seems,1
seemore,1
"""'computer""",1
alcohol,1
secretly,1
sheet,1
accordingly,1
shrewdly,1
slowly,1
_slightly,1
_softly,1
aboard,1
absolutely,1
smoothly,1
absoultely,1
slogan,1
altogether,1
"""'dolly""",1
size,1
sincerely,1
wholly,1
acceptance,1
silver,1
scarily,1
safely,1
weirdly,1
auditoria,1
regionally,1
regimentally,1
assembly,1
‘,1
assumingly,1
reasonably,1
raven,1
yard,1
automatically,1
backkerly,1
“,1
radically,1
"""'bully""",1
beastly,1
asleep,1
ashore,1
–,1
£2000,1
relentlessly,1
repeatedly,1
zone,1
reportedly,1
represented.there,1
"""'clearly""",1
responsively,1
yearly,1
restrospectively,1
appropriately,1
rigorously,1
apotecken,1
"""'clever""",1
_only,1
"""'hardly""",1
_nowhere,1
toegether,1
"""'lively""",1
"""'liver""",1
twenty,1
"""'molly""",1
"""'mother""",1
"""'nearly""",1
tirelessly,1
"""'justly""",1
time,1
"""'personally""",1
thus,1
"""'profoundly""",1
"""'quite""",1
"""'riverside""",1
"""'lily""",1
uncomfortably,1
utterly,1
"""'highly""",1
"""'heaven""",1
urgently,1
"""'formerly""",1
uphill,1
vastly,1
unwomanly,1
unusually,1
undergone,1
uniquely,1
unfortunately,1
unexpectedly,1
uneasily,1
"""'how""",1
"""'jolly""",1
"""'safely""",1
"""'family""",1
"""'south""",1
"""'eagerly""",1
"""'where""",1
strong,1
"""l'art""",1
strictly,1
strategically,1
strangely,1
waiter,1
thames,1
"""n'nah""",1
stately,1
stamps,1
1998-1999,1
speculatively,1
\x91paradise\x92,1
beautifully,1
structurally,1
"""'well""",1
substantially,1
subtly,1
"""'ever""",1
"""'exactly""",1
suddenly,1
sufficiently,1
"""'fairly""",1
symbolically,1
sympathetically,1
systematically,1
tagore,1
"""'surveillance""",1
technologically,1
temporarily,1
_family,1
increasingly,1
purely,1
midway,1
folklore,1
foreshore,1
monthly,1
forever,1
mistakenly,1
mischievously,1
miraculously,1
mid-way,1
marianergraven,1
meter,1
format,1
medically,1
mechanically,1
meanwhile,1
fourthly,1
friendship,1
mosely,1
foamboard,1
financially,1
feedback,1
extraordinarily,1
faint,1
farely,1
ncludes,1
fast,1
nationally,1
faster,1
fatally,1
name,1
nakedly,1
n.d.,1
mutually,1
father,1
movingly,1
motorway,1
fro,1
manly,1
neoplasia,1
horizontally,1
hat,1
"""'beastly""",1
kelly,1
heard,1
june/july,1
hilariously,1
hopefully,1
intermittently,1
from,1
interestingly,1
interchangeably,1
intently,1
hormone,1
importantly,1
impressively,1
indefinitely,1
happily,1
handover,1
halfway,1
guide,1
lumbago,1
lovely,1
loudly,1
from_,1
full-time,1
gateway,1
gently,1
geographically,1
libretti,1
lettere,1
gloomy,1
gradually,1
leave,1
gratefully,1
gruesomely,1
negatively,1
exterior,1
before,1
polly,1
consciously,1
practically,1
consistently,1
copiously,1
possily,1
correctly,1
cruelly,1
pleasant,1
deftly,1
plasterboard,1
daily,1
daily/family,1
daughter,1
photographs,1
pertinere,1
decipher,1
confidentially,1
predominatly,1
comprehensively,1
comparatively,1
beneath,1
brightly,1
prolifically,1
progressively,1
programmes,1
incorrectly,1
profile,1
prodigiously,1
brother,1
built-up,1
certainly,1
challengingly,1
principally,1
cheerfully,1
cleverly,1
permanently,1
densely,1
expensively,1
erroneously,1
environmentally,1
ephemera,1
o,1
nunc,1
numb,1
equitably,1
er,1
essentially,1
dioxide,1
et,1
evidently,1
normally,1
excellently,1
niver,1
newsletter,1
newr,1
enthusiastically,1
embroidery,1
electronically,1
electrically,1
disagreeably,1
particuarly,1
discuss,1
distinctly,1
overall,1
domestically,1
dreadfully,1
due,1
ort,1
orignally,1
ecologically,1
ore,1
opere,1
economically,1
elderly,1
"""'august""",1
