,token_lower,count_nusc,percentage_of_all_tokens_nusc,count_uoe,percentage_of_all_tokens_uoe
530,early,976,0.05095621211567478,1569,0.28914463681848757
1589,various,777,0.04056657460438454,478,0.0880886783933952
872,late,61,0.003184763257229674,468,0.08624581901278022
1321,scottish,65,0.0033936001921299804,415,0.07647866429552093
1090,other,1787,0.09329790066671191,384,0.07076580021561454
308,british,1943,0.10144254112782387,367,0.06763293926856911
640,first,1311,0.06844630541357544,307,0.056575782984879336
1028,next,82,0.004281157165456282,253,0.04662434232955854
513,domestic,106,0.005534178774858121,220,0.04054290637352917
1346,several,1933,0.1009204487905731,213,0.03925290480709869
1063,old,75,0.003915692529380747,206,0.03796290324066822
1382,small,414,0.02161462276218172,187,0.03446147041749979
1025,new,606,0.03163879563739643,174,0.03206575322270034
493,different,206,0.010755102147365784,170,0.031328609470454356
1646,young,122,0.006369526514459348,169,0.03114432353239286
1326,second,285,0.014879631611646835,165,0.030407179780146877
944,many,1794,0.09366336530278745,160,0.029485750089839394
1352,sheep,2,0.00010441846745015324,158,0.029117178213716403
804,indian,67,0.003498018659580133,154,0.02838003446147042
699,genetic,5,0.0002610461686253831,152,0.028011462585347424
867,large,1200,0.06265108047009195,149,0.027458604771162937
697,general,450,0.023494155176284476,122,0.02248288444350254
1406,special,184,0.009606499005414097,121,0.022298598505441043
1087,original,594,0.03101228483269551,118,0.021745740691256555
743,handwritten,125,0.006526154215634577,114,0.021008596939010568
1544,undated,111,0.005795224943483505,112,0.020640025062887576
753,high,66,0.0034458094258550563,107,0.019718595372580094
926,loose,61,0.003184763257229674,107,0.019718595372580094
960,medical,254,0.013261145366169461,100,0.018428593806149623
205,american,104,0.005429760307407968,100,0.018428593806149623
1269,related,142,0.00741371118896088,98,0.018060021930026628
1437,such,2010,0.10494055978740399,97,0.017875735991965132
707,german,141,0.007361501955235803,96,0.017691450053903636
1102,own,137,0.007152665020335496,94,0.017322878177780644
675,french,185,0.009658708239139174,90,0.01658573442553466
216,annual,180,0.00939766207051379,89,0.01640144848747316
1020,negative,49,0.0025582524525287545,87,0.01603287661135017
871,last,140,0.007309292721510726,86,0.015848590673288674
1047,nuclear,6,0.0003132554023504597,86,0.015848590673288674
289,black,652,0.03404042038874995,86,0.015848590673288674
715,good,136,0.0071004557866104195,82,0.01511144692104269
1624,white,515,0.026887755368414458,79,0.014558589106858201
1309,same,87,0.004542203334081666,78,0.014374303168796706
1320,scientific,816,0.04260273471966252,78,0.014374303168796706
1354,short,426,0.022241133566882638,77,0.01419001723073521
201,alternative,42,0.002192787816453218,76,0.014005731292673712
628,few,41,0.002140578582728141,74,0.01363715941655072
1132,personal,543,0.028349613912716606,70,0.012900015664304735
213,animal,8,0.00041767386980061296,70,0.012900015664304735
462,dated,35,0.0018273231803776816,69,0.01271572972624324
571,english,139,0.00725708348778565,69,0.01271572972624324
1114,particular,97,0.005064295671332432,69,0.01271572972624324
983,miscellaneous,159,0.008301268162287182,67,0.012347157850120248
674,free,30,0.0015662770117522986,66,0.01216287191205875
1642,x,108,0.0056385972423082745,65,0.011978585973997254
1184,present,599,0.031273331001320896,65,0.011978585973997254
1166,possible,97,0.005064295671332432,64,0.011794300035935758
1195,printed,254,0.013261145366169461,62,0.011425728159812765
1490,third,107,0.005586388008583198,62,0.011425728159812765
197,agricultural,31,0.0016184862454773751,61,0.01124144222175127
1260,red,410,0.021405785827281414,60,0.011057156283689773
990,more,129,0.006734991150534884,60,0.011057156283689773
1386,social,218,0.011381612952066703,59,0.010872870345628277
1622,western,37,0.0019317416478278348,59,0.010872870345628277
1561,unknown,160,0.00835347739601226,59,0.010872870345628277
489,diary,85,0.004437784866631512,58,0.01068858440756678
237,archive,45,0.0023494155176284476,57,0.010504298469505284
986,modern,49,0.0025582524525287545,57,0.010504298469505284
767,human,48,0.0025060432188036778,57,0.010504298469505284
1635,wooden,48,0.0025060432188036778,56,0.010320012531443788
953,material,160,0.00835347739601226,56,0.010320012531443788
1338,separate,63,0.003289181724679827,54,0.009951440655320795
914,little,41,0.002140578582728141,54,0.009951440655320795
1553,unidentified,49,0.0025582524525287545,53,0.009767154717259299
626,female,27,0.0014096493105770686,53,0.009767154717259299
1223,public,2144,0.11193659710656426,52,0.009582868779197803
682,full,99,0.005168714138782586,52,0.009582868779197803
277,best,41,0.002140578582728141,51,0.009398582841136307
181,adaptive,1,5.220923372507662e-05,51,0.009398582841136307
1502,top,47,0.002453833985078601,51,0.009398582841136307
688,further,858,0.04479552253611573,51,0.009398582841136307
1071,open,50,0.0026104616862538312,50,0.009214296903074811
931,lower,80,0.00417673869800613,50,0.009214296903074811
762,honorary,47,0.002453833985078601,50,0.009214296903074811
586,european,69,0.0036024371270302865,50,0.009214296903074811
920,long,87,0.004542203334081666,50,0.009214296903074811
196,african,31,0.0016184862454773751,49,0.009030010965013314
1254,recital,1,5.220923372507662e-05,49,0.009030010965013314
1035,north,62,0.0032369724909547502,47,0.008661439088890322
991,most,840,0.043855756329064355,47,0.008661439088890322
806,individual,819,0.04275936242083775,47,0.008661439088890322
599,experimental,12,0.0006265108047009194,46,0.008477153150828826
1290,right,10,0.0005220923372507662,46,0.008477153150828826
1097,ovarian,2,0.00010441846745015324,46,0.008477153150828826
359,circular,26,0.001357440076851992,46,0.008477153150828826
847,japanese,18,0.0009397662070513792,45,0.00829286721276733
1002,musical,32,0.0016706954792024518,45,0.00829286721276733
652,following,663,0.03461472195972579,45,0.00829286721276733
1634,wooded,1,5.220923372507662e-05,44,0.008108581274705833
725,great,39,0.002036160115277988,44,0.008108581274705833
318,canadian,6,0.0003132554023504597,43,0.007924295336644337
368,clinical,53,0.0027670893874290605,43,0.007924295336644337
1579,upper,17,0.0008875569733263024,43,0.007924295336644337
1272,religious,74,0.0038634832956556697,43,0.007924295336644337
1397,south,80,0.00417673869800613,43,0.007924295336644337
995,much,42,0.002192787816453218,43,0.007924295336644337
633,final,181,0.009449871304238867,42,0.007740009398582841
1010,native,12,0.0006265108047009194,41,0.007555723460521345
1156,political,292,0.015245096247722374,41,0.007555723460521345
887,legal,38,0.0019839508815529118,41,0.007555723460521345
916,local,341,0.017803348700251125,41,0.007555723460521345
1629,wild,6,0.0003132554023504597,40,0.007371437522459849
279,between,5,0.0002610461686253831,40,0.007371437522459849
171,academic,2356,0.12300495465628052,40,0.007371437522459849
935,main,935,0.048815633532946635,40,0.007371437522459849
521,due,122,0.006369526514459348,40,0.007371437522459849
1527,typescript,133,0.006943828085435189,40,0.007371437522459849
1124,pen,10,0.0005220923372507662,40,0.007371437522459849
939,male,10,0.0005220923372507662,40,0.007371437522459849
1507,traditional,12,0.0006265108047009194,39,0.007187151584398353
1301,russian,110,0.005743015709758428,39,0.007187151584398353
659,former,90,0.004698831035256895,39,0.007187151584398353
1621,west,38,0.0019839508815529118,39,0.007187151584398353
392,common,23,0.0012008123756767622,38,0.007002865646336856
1199,professional,1908,0.0996152179474462,38,0.007002865646336856
1196,private,51,0.0026626709199789075,38,0.007002865646336856
1645,yellow,12,0.0006265108047009194,37,0.00681857970827536
286,biographical,44,0.0022972062839033713,37,0.00681857970827536
1191,previous,169,0.008823360499537948,37,0.00681857970827536
621,fat,2,0.00010441846745015324,37,0.00681857970827536
1279,reproductive,2,0.00010441846745015324,36,0.006634293770213864
912,literary,110,0.005743015709758428,36,0.006634293770213864
1408,specific,163,0.008510105097187488,36,0.006634293770213864
177,acid,1,5.220923372507662e-05,36,0.006634293770213864
266,avian,1,5.220923372507662e-05,36,0.006634293770213864
562,embryonic,1,5.220923372507662e-05,36,0.006634293770213864
1094,outside,9,0.0004698831035256896,35,0.006450007832152368
1061,official,101,0.005273132606232738,35,0.006450007832152368
634,financial,136,0.0071004557866104195,35,0.006450007832152368
903,likely,61,0.003184763257229674,34,0.006265721894090872
1141,physical,16,0.0008353477396012259,34,0.006265721894090872
930,low,16,0.0008353477396012259,34,0.006265721894090872
470,deep,6,0.0003132554023504597,33,0.006081435956029375
1368,single,91,0.004751040268981972,33,0.006081435956029375
1139,photographic,79,0.004124529464281053,33,0.006081435956029375
1011,natural,67,0.003498018659580133,33,0.006081435956029375
337,central,76,0.0039679017631058236,33,0.006081435956029375
976,military,1628,0.08499663250442474,32,0.005897150017967879
305,brief,81,0.0042289479317312055,32,0.005897150017967879
937,major,1876,0.09794452246824374,32,0.005897150017967879
1604,visible,9,0.0004698831035256896,32,0.005897150017967879
1050,numerous,52,0.002714880153703984,31,0.0057128640799063825
1348,sexual,19,0.0009919754407764559,31,0.0057128640799063825
188,adrian,11,0.0005743015709758428,31,0.0057128640799063825
492,dietary,1,5.220923372507662e-05,31,0.0057128640799063825
528,earlier,48,0.0025060432188036778,31,0.0057128640799063825
680,front,48,0.0025060432188036778,31,0.0057128640799063825
1171,potential,121,0.006317317280734271,30,0.005528578141844887
998,multiple,40,0.002088369349003065,30,0.005528578141844887
1143,physiological,3,0.00015662770117522986,30,0.005528578141844887
1464,table,12,0.0006265108047009194,29,0.00534429220378339
836,international,127,0.006630572683084731,29,0.00534429220378339
654,foreign,35,0.0018273231803776816,28,0.005160006265721894
1529,typical,27,0.0014096493105770686,28,0.005160006265721894
1403,spanish,18,0.0009397662070513792,28,0.005160006265721894
800,incomplete,53,0.0027670893874290605,28,0.005160006265721894
542,educational,18,0.0009397662070513792,27,0.004975720327660397
1335,senior,20,0.0010441846745015324,27,0.004975720327660397
263,autograph,7,0.00036546463607553634,27,0.004975720327660397
576,environmental,46,0.0024016247513535243,26,0.0047914343895989015
1625,whole,33,0.0017229047129275281,26,0.0047914343895989015
1173,practical,12,0.0006265108047009194,26,0.0047914343895989015
460,dark,8,0.00041767386980061296,25,0.004607148451537406
1436,successful,2349,0.12263949002020497,25,0.004607148451537406
340,certain,33,0.0017229047129275281,25,0.004607148451537406
