,token_lower,count_nusc,percentage_of_all_tokens_nusc,count_uoe,percentage_of_all_tokens_uoe
0,"""'new""",1801.0,0.09402882993886298,NA,NA
1,20th,NA,NA,2143.0,0.3949247652657864
2,academic,2356.0,0.12300495465628052,NA,NA
3,accessible,1802.0,0.09408103917258806,NA,NA
4,aesthetic,1798.0,0.09387220223768776,NA,NA
5,all-time,1796.0,0.0937677837702376,NA,NA
6,british,1943.0,0.10144254112782387,367.0,0.06763293926856911
7,different,NA,NA,170.0,0.031328609470454356
8,distinctive,1806.0,0.09428987610748837,NA,NA
9,domestic,NA,NA,220.0,0.04054290637352917
10,early,NA,NA,1569.0,0.28914463681848757
11,early/mid,NA,NA,264.0,0.048651487648235
12,first,NA,NA,307.0,0.056575782984879336
13,general,NA,NA,122.0,0.02248288444350254
14,genetic,NA,NA,152.0,0.028011462585347424
15,handwritten,NA,NA,114.0,0.021008596939010568
16,high,NA,NA,107.0,0.019718595372580094
17,historic,3650.0,0.19056370309652965,NA,NA
18,indian,NA,NA,154.0,0.02838003446147042
19,influential,3610.0,0.1884753337475266,NA,NA
20,key,3686.0,0.19244323551063242,NA,NA
21,large,NA,NA,149.0,0.027458604771162937
22,late,NA,NA,468.0,0.08624581901278022
23,loose,NA,NA,107.0,0.019718595372580094
24,major,1876.0,0.09794452246824374,NA,NA
25,many,1794.0,0.09366336530278745,160.0,0.029485750089839394
26,mid-twentieth,5386.0,0.28119893284326264,NA,NA
27,new,NA,NA,174.0,0.03206575322270034
28,new-wave,1795.0,0.09371557453651252,NA,NA
29,next,NA,NA,253.0,0.04662434232955854
30,notable,3099.0,0.16179641531401245,NA,NA
31,old,NA,NA,206.0,0.03796290324066822
32,original,NA,NA,118.0,0.021745740691256555
33,other,1787.0,0.09329790066671191,384.0,0.07076580021561454
34,partial,1967.0,0.1026955627372257,NA,NA
35,polar,2312.0,0.12070774837237713,NA,NA
36,polemical,1795.0,0.09371557453651252,NA,NA
37,post-war,1805.0,0.0942376668737633,NA,NA
38,professional,1908.0,0.0996152179474462,NA,NA
39,public,2144.0,0.11193659710656426,NA,NA
40,recent,2001.0,0.10447067668387831,NA,NA
41,remarkable,1802.0,0.09408103917258806,NA,NA
42,scholarly,1797.0,0.09381999300396268,NA,NA
43,scottish,NA,NA,415.0,0.07647866429552093
44,second,NA,NA,165.0,0.030407179780146877
45,several,1933.0,0.1009204487905731,213.0,0.03925290480709869
46,sheep,NA,NA,158.0,0.029117178213716403
47,significant,2602.0,0.13584842615264936,NA,NA
48,small,NA,NA,187.0,0.03446147041749979
49,special,NA,NA,121.0,0.022298598505441043
50,successful,2349.0,0.12263949002020497,NA,NA
51,such,2010.0,0.10494055978740399,NA,NA
52,undated,NA,NA,112.0,0.020640025062887576
53,various,NA,NA,478.0,0.0880886783933952
54,widely-read,1795.0,0.09371557453651252,NA,NA
55,young,NA,NA,169.0,0.03114432353239286
