,left,query,right
0,In 1953 the Tell Scotland committee was formed and Rev Tom Allan was appointed evangelistic organiser He became a,key,figure in the Scottish evangelical movement of the mid-20th century and travelled extensively throughout Britain in his capacity
1,Dundee 18 April 1920 marked D.8835/49 Lowland Elementary lessons in Gaelic reading grammar and construction with a vocabulary and,key,by Lachlan Macbean D.8835/49 EUL Special Collections SD 2219 Letter does not refer to book but blank reverse
2,versions of published songs manuscripts several arrangements for harp accompaniment manuscripts A Parting Toast 'M.K.F 's Marjory Kennedy Fraser,key,or for general use and 'Loom Blessing manuscript 'Bloweth the West Wind 'transposed to G major and two
3,to the Sea words by Violet Jacob air from Barra arranged by Marjory Kennedy-Fraser 'The Reiving Ship 'Rosing 's,key,'' A Quern Lilt Ash Eve 'Obbe S Harris 'On her Soft Bosom'/ Righinn nam bruadh 'words from
4,versions of published songs manuscripts several arrangements for harp accompaniment manuscripts A Parting Toast 'M.K.F 's Marjory Kennedy Fraser,key,or for general use and 'Loom Blessing manuscript 'Bloweth the West Wind 'transposed to G major and two
5,to the Sea words by Violet Jacob air from Barra arranged by Marjory Kennedy-Fraser 'The Reiving Ship 'Rosing 's,key,'' A Quern Lilt Ash Eve 'Obbe S Harris 'On her Soft Bosom'/ Righinn nam bruadh 'words from
6,'ll come to ye my Lad 'Ossianic Recitative – The Banners of the Feine 'Brataichean na Feinne 'In this,key,with harp improvisation accompaniment on G. B. D. F. 'Ossianic Lay 'Braw Braw Lads 'Aye Wakin O O
7,Dundee 18 April 1920 marked D.8835/49 Lowland Elementary lessons in Gaelic reading grammar and construction with a vocabulary and,key,by Lachlan Macbean D.8835/49 EUL Special Collections SD 2219 Letter does not refer to book but blank reverse
8,'ll come to ye my Lad 'Ossianic Recitative – The Banners of the Feine 'Brataichean na Feinne 'In this,key,with harp improvisation accompaniment on G. B. D. F. 'Ossianic Lay 'Braw Braw Lads 'Aye Wakin O O
9,W. A. Roberts Maghull Liverpool December 1920 manuscript 'Ruari of Dunvegan words by Kenneth Macleod arrangement by Marjory Kennedy-Fraser,key,F Margaret Kennedy 's key manuscript and Printed Hebridean music Mainly Marjory Kennedy-Fraser 's own publications including reused
10,December 1920 manuscript 'Ruari of Dunvegan words by Kenneth Macleod arrangement by Marjory Kennedy-Fraser key F Margaret Kennedy 's,key,manuscript and Printed Hebridean music Mainly Marjory Kennedy-Fraser 's own publications including reused proof sheets and pages cut
11,various guest and staff lunches and dinners hosted at the British Empire Cancer Campaign Environment Unit Guests include various,key,figures in the City and University of Edinburgh including Edward Appleton George L. Montgomery and Duncan M. Weatherstone
12,as Poultry Research Centre 'Christening Party 1950 There are signatures by academics from universities and institutions around the world,key,figures at the University of Edinburgh such as Edward Appleton and J. Russell Greig and politicians such as
13,money owed for the billetting of his soldiers Coll-1149 Hope Account Book Sir John Hope of Craighall and This,key,research resource is an important survival being a manuscript account book detailing transactions debits and credits relating to
14,Timothy L. S. Sprigge Archive and The Sprigge collection of papers at E2008.47 is composed of curriculum vitae life-diary,key,events and unpublished papers including 'What I believe' photographs obituaries letters from philosophers 1967-2003 copy of Ph.D thesis
15,invited by Edinburgh University students to become a candidate in the Rectorial election that year Trotsky had been a,key,figure in the Bolshevik seizure of power in Russia and was second only to Lenin in the early
16,'metagons which control the ability of the cell to permit growth of visible endosymbiotic 'mu mate-killer particles Beale 's,key,paper about the metagon was published in collaboration with Ian Gibson in 1962 Ultimately however it had to
17,born in Banff in 1743 and was a graduate of Edinburgh Medical School studying under Cullen and became a,key,figure in the history of medicine in the late-18th century After graduation with the degree of MD thesis
18,and a large library of Victorian books His principal interest had been Pugin and he came to play a,key,role in the refurbishment of the Palace of Westminster In 1988 he was appointed Assistant Keeper in the
19,and how important it is that they should not be studied in isolation He emphasises the importance of understanding,key,tenets of sociology in relation to education coming to the course with an open mind and learning from
20,Hessen Germany His work spanned the fields of poetry drama prose philosophy and science Goethe was one of the,key,figures of German literature and the movement of Weimar Classicism in the late 18th and early 19th centuries
