,left,query,right
0,1954 invitations refused General 1955 General later 1955 General early 1956 Letters kept from New York office Eighth Virginia,woman,'s Forum General 1957 Companion of Honour letters of congratulation General 1957-1958 Presentation of portrait General 1958-1959 Trip
1,lectures in Intermediate Honours Metaphysics at the University of Edinburgh and Programme and cuttings relating to the Eighth Virginia,woman,'s Forum at which John Baillie delivered a lecture and Undated lecture by John Baillie examining John Caird
2,Kennedy-Fraser manuscripts deposited in 1967 Various Marjory Kennedy-Fraser manuscripts deposited in 1962 Printed music collections Photographs of young dark-haired,woman,in a dramatic pose Discarded archive envelope Box Gen. 519 'Songs of Scotland – Programmes 1882-6 Two sets
3,a Cheathaich from Mrs Cameron 'Mingulay Song 'Moladh na Bhata Mrs Macdonald S. Uist 'Milking Song 'Lewis Song 'Mingulay,woman,Man lost on hills takes shelter in sheiling 'McCauley of Barra Turus an airidh 'The Rival Bardesses of
4,it from a piper 'Gur Milis Morag Barra Version Miss Macneill 'Taladh Chriosta Lullaby to Christ 'Oran Luadh Mingulay,woman,Lament on a boat going down the men drowned Archie Love song Skye Fisher 'Dandling song Father Allan
5,treig mi Thug mi n oidche 'Song to McNeill of Barra 's Galley 300 years old Sung by Mingulay,woman,'Mouth music a most fascinating tune I got last night from Malcolm Johnston He got it over in
6,3.Breton songs.Various Marjory Kennedy-Fraser manuscripts deposited in 1967.Various Marjory Kennedy-Fraser manuscripts deposited in 1962.Printed music collections.Photographs of young dark-haired,woman,in a dramatic pose Discarded archive envelope Notes of content and various D.- numbers and 'Tolmie Gesto Bundle
7,a Cheathaich from Mrs Cameron 'Mingulay Song 'Moladh na Bhata Mrs Macdonald S. Uist 'Milking Song 'Lewis Song 'Mingulay,woman,Man lost on hills takes shelter in sheiling 'McCauley of Barra Turus an airidh 'The Rival Bardesses of
8,1856-1932 Scottish critic editor and writer c 1906-c 1924EnglishThe Seal-woman.Different sets of proofs of vocal score of The Seal,woman,also of libretto all corrected and amended by Marjory Kennedy-Fraser one vocal score copy includes Marjory Kennedy-Fraser 's
9,Opera in two scenes anonymous synopsis manuscript six pages 'Margaret Tudor anonymous play script typed nine pages The Seal,woman,A Celtic Folk Opera by Marjory Kennedy-Fraser and Granville Bantock libretto typed 30 pages including numerous additions and
10,3.Breton songs.Various Marjory Kennedy-Fraser manuscripts deposited in 1967.Various Marjory Kennedy-Fraser manuscripts deposited in 1962.Printed music collections.Photographs of young dark-haired,woman,in a dramatic pose Discarded archive envelope Notes of content and various D.- numbers.Previous referencesGen 287 E60/25 E62/23
11,it from a piper 'Gur Milis Morag Barra Version Miss Macneill 'Taladh Chriosta Lullaby to Christ 'Oran Luadh Mingulay,woman,Lament on a boat going down the men drowned Archie Love song Skye Fisher 'Dandling song Father Allan
