,description_id,adj_count,adv_count
2.0,2,15.0,1.0
3.0,3,10.0,3.0
6.0,6,12.0,1.0
7.0,7,16.0,6.0
10.0,10,11.0,1.0
11.0,11,13.0,7.0
16.0,16,1.0,0.0
25.0,25,1.0,0.0
27.0,27,1.0,0.0
31.0,31,1.0,0.0
32.0,32,1.0,0.0
34.0,34,2.0,0.0
35.0,35,1.0,0.0
36.0,36,1.0,0.0
37.0,37,1.0,0.0
38.0,38,1.0,0.0
39.0,39,2.0,0.0
40.0,40,1.0,0.0
41.0,41,1.0,0.0
44.0,44,1.0,0.0
46.0,46,1.0,0.0
47.0,47,1.0,0.0
48.0,48,1.0,0.0
49.0,49,2.0,0.0
51.0,51,1.0,0.0
57.0,57,1.0,0.0
58.0,58,1.0,0.0
60.0,60,1.0,0.0
64.0,64,1.0,0.0
65.0,65,1.0,0.0
66.0,66,1.0,0.0
,68,0.0,2.0
71.0,71,1.0,0.0
72.0,72,1.0,0.0
80.0,80,1.0,0.0
85.0,85,1.0,0.0
88.0,88,1.0,0.0
99.0,99,1.0,0.0
102.0,102,1.0,0.0
114.0,114,1.0,0.0
124.0,124,1.0,0.0
126.0,126,1.0,0.0
127.0,127,1.0,0.0
131.0,131,1.0,0.0
140.0,140,1.0,0.0
154.0,154,1.0,0.0
158.0,158,1.0,0.0
160.0,160,1.0,0.0
165.0,165,1.0,0.0
169.0,169,1.0,0.0
173.0,173,1.0,0.0
176.0,176,1.0,0.0
178.0,178,1.0,0.0
187.0,187,1.0,0.0
188.0,188,1.0,0.0
192.0,192,1.0,0.0
193.0,193,1.0,0.0
194.0,194,1.0,0.0
197.0,197,1.0,0.0
198.0,198,1.0,0.0
199.0,199,2.0,0.0
201.0,201,1.0,0.0
202.0,202,2.0,0.0
203.0,203,2.0,0.0
204.0,204,1.0,0.0
205.0,205,2.0,0.0
206.0,206,2.0,0.0
209.0,209,1.0,0.0
210.0,210,2.0,0.0
211.0,211,2.0,0.0
212.0,212,2.0,0.0
215.0,215,2.0,0.0
216.0,216,1.0,0.0
218.0,218,1.0,0.0
219.0,219,1.0,0.0
220.0,220,2.0,0.0
221.0,221,1.0,0.0
223.0,223,2.0,0.0
225.0,225,1.0,0.0
226.0,226,1.0,1.0
227.0,227,2.0,0.0
230.0,230,1.0,0.0
232.0,232,2.0,0.0
234.0,234,2.0,0.0
236.0,236,1.0,0.0
237.0,237,1.0,0.0
242.0,242,1.0,0.0
244.0,244,1.0,0.0
248.0,248,1.0,0.0
249.0,249,1.0,0.0
252.0,252,1.0,0.0
258.0,258,1.0,0.0
,270,0.0,1.0
280.0,280,1.0,0.0
281.0,281,1.0,0.0
285.0,285,1.0,0.0
286.0,286,1.0,0.0
296.0,296,1.0,0.0
299.0,299,1.0,0.0
312.0,312,1.0,0.0
318.0,318,2.0,0.0
321.0,321,1.0,0.0
335.0,335,1.0,0.0
340.0,340,1.0,0.0
342.0,342,1.0,0.0
347.0,347,1.0,0.0
348.0,348,1.0,0.0
349.0,349,1.0,0.0
352.0,352,1.0,0.0
356.0,356,1.0,0.0
357.0,357,1.0,0.0
362.0,362,1.0,0.0
,363,0.0,1.0
,365,0.0,1.0
367.0,367,1.0,0.0
369.0,369,2.0,0.0
372.0,372,2.0,0.0
373.0,373,1.0,0.0
374.0,374,2.0,1.0
376.0,376,1.0,1.0
378.0,378,1.0,0.0
379.0,379,3.0,0.0
381.0,381,3.0,1.0
382.0,382,1.0,0.0
383.0,383,1.0,0.0
385.0,385,1.0,0.0
388.0,388,2.0,0.0
389.0,389,1.0,0.0
390.0,390,1.0,0.0
392.0,392,2.0,1.0
393.0,393,2.0,0.0
395.0,395,1.0,0.0
397.0,397,1.0,0.0
398.0,398,1.0,0.0
400.0,400,2.0,0.0
401.0,401,2.0,0.0
402.0,402,3.0,0.0
404.0,404,2.0,1.0
405.0,405,1.0,0.0
406.0,406,2.0,1.0
407.0,407,1.0,0.0
409.0,409,1.0,0.0
410.0,410,2.0,0.0
411.0,411,3.0,1.0
412.0,412,1.0,0.0
413.0,413,1.0,0.0
414.0,414,1.0,0.0
416.0,416,1.0,1.0
417.0,417,1.0,0.0
418.0,418,1.0,0.0
420.0,420,1.0,0.0
421.0,421,2.0,0.0
422.0,422,1.0,1.0
423.0,423,2.0,0.0
425.0,425,1.0,0.0
,426,0.0,1.0
427.0,427,3.0,0.0
428.0,428,1.0,0.0
,430,0.0,1.0
432.0,432,3.0,1.0
433.0,433,1.0,0.0
434.0,434,1.0,0.0
436.0,436,1.0,0.0
437.0,437,2.0,0.0
439.0,439,3.0,0.0
,441,0.0,1.0
442.0,442,1.0,2.0
444.0,444,2.0,0.0
447.0,447,3.0,2.0
449.0,449,1.0,0.0
450.0,450,1.0,0.0
453.0,453,3.0,1.0
,456,0.0,1.0
457.0,457,2.0,0.0
458.0,458,1.0,1.0
459.0,459,1.0,0.0
460.0,460,1.0,0.0
461.0,461,1.0,0.0
462.0,462,3.0,0.0
463.0,463,1.0,0.0
464.0,464,1.0,0.0
466.0,466,2.0,0.0
468.0,468,3.0,0.0
469.0,469,3.0,0.0
470.0,470,1.0,0.0
473.0,473,3.0,1.0
474.0,474,1.0,0.0
475.0,475,2.0,0.0
477.0,477,1.0,0.0
478.0,478,2.0,0.0
479.0,479,2.0,4.0
,480,0.0,1.0
481.0,481,2.0,0.0
,483,0.0,1.0
484.0,484,2.0,0.0
485.0,485,1.0,0.0
486.0,486,2.0,1.0
490.0,490,1.0,0.0
491.0,491,1.0,0.0
492.0,492,4.0,1.0
494.0,494,2.0,0.0
495.0,495,3.0,1.0
496.0,496,3.0,0.0
499.0,499,1.0,0.0
500.0,500,1.0,0.0
503.0,503,1.0,0.0
504.0,504,1.0,0.0
506.0,506,2.0,0.0
507.0,507,3.0,0.0
510.0,510,1.0,0.0
512.0,512,1.0,0.0
513.0,513,4.0,0.0
514.0,514,1.0,0.0
515.0,515,1.0,0.0
518.0,518,2.0,0.0
521.0,521,3.0,0.0
522.0,522,3.0,0.0
,523,0.0,1.0
524.0,524,1.0,0.0
525.0,525,4.0,0.0
529.0,529,2.0,0.0
530.0,530,1.0,0.0
531.0,531,2.0,0.0
532.0,532,3.0,1.0
533.0,533,3.0,0.0
535.0,535,4.0,1.0
536.0,536,4.0,0.0
537.0,537,2.0,0.0
,538,0.0,1.0
539.0,539,1.0,1.0
540.0,540,2.0,0.0
,541,0.0,1.0
543.0,543,2.0,0.0
546.0,546,2.0,2.0
547.0,547,1.0,0.0
548.0,548,6.0,0.0
549.0,549,2.0,0.0
550.0,550,1.0,1.0
552.0,552,1.0,0.0
553.0,553,1.0,0.0
554.0,554,3.0,1.0
555.0,555,2.0,0.0
557.0,557,1.0,0.0
,558,0.0,2.0
559.0,559,3.0,0.0
560.0,560,1.0,0.0
562.0,562,1.0,1.0
564.0,564,1.0,0.0
565.0,565,1.0,0.0
,566,0.0,1.0
568.0,568,1.0,0.0
569.0,569,1.0,1.0
570.0,570,3.0,0.0
572.0,572,1.0,0.0
,574,0.0,1.0
575.0,575,1.0,0.0
576.0,576,1.0,1.0
581.0,581,3.0,0.0
583.0,583,2.0,0.0
584.0,584,1.0,0.0
585.0,585,1.0,0.0
,586,0.0,1.0
587.0,587,1.0,0.0
588.0,588,1.0,0.0
589.0,589,3.0,0.0
591.0,591,1.0,0.0
594.0,594,1.0,0.0
596.0,596,7.0,0.0
598.0,598,2.0,0.0
,600,0.0,2.0
601.0,601,2.0,2.0
604.0,604,1.0,0.0
,605,0.0,1.0
607.0,607,1.0,0.0
611.0,611,1.0,0.0
612.0,612,1.0,0.0
614.0,614,1.0,0.0
615.0,615,1.0,0.0
619.0,619,2.0,0.0
620.0,620,3.0,1.0
622.0,622,2.0,0.0
625.0,625,2.0,0.0
629.0,629,3.0,1.0
630.0,630,2.0,0.0
632.0,632,1.0,0.0
633.0,633,3.0,0.0
634.0,634,1.0,1.0
,637,0.0,1.0
638.0,638,2.0,0.0
639.0,639,1.0,0.0
640.0,640,2.0,1.0
642.0,642,1.0,0.0
,644,0.0,2.0
646.0,646,2.0,1.0
647.0,647,1.0,0.0
648.0,648,2.0,0.0
649.0,649,2.0,0.0
650.0,650,1.0,0.0
651.0,651,3.0,0.0
655.0,655,1.0,0.0
657.0,657,1.0,0.0
658.0,658,5.0,1.0
659.0,659,1.0,0.0
661.0,661,3.0,1.0
662.0,662,1.0,0.0
665.0,665,5.0,1.0
,666,0.0,2.0
667.0,667,3.0,4.0
668.0,668,3.0,0.0
669.0,669,1.0,1.0
671.0,671,4.0,1.0
672.0,672,2.0,0.0
673.0,673,2.0,0.0
674.0,674,2.0,1.0
675.0,675,2.0,0.0
677.0,677,2.0,0.0
678.0,678,1.0,0.0
679.0,679,3.0,0.0
680.0,680,1.0,0.0
681.0,681,3.0,1.0
682.0,682,1.0,0.0
684.0,684,1.0,0.0
686.0,686,3.0,2.0
687.0,687,2.0,1.0
688.0,688,3.0,0.0
689.0,689,2.0,0.0
690.0,690,1.0,0.0
691.0,691,3.0,1.0
693.0,693,2.0,0.0
695.0,695,2.0,0.0
698.0,698,2.0,0.0
699.0,699,1.0,0.0
701.0,701,2.0,0.0
702.0,702,1.0,0.0
,704,0.0,1.0
705.0,705,2.0,0.0
706.0,706,1.0,1.0
708.0,708,3.0,1.0
709.0,709,1.0,0.0
710.0,710,1.0,0.0
712.0,712,1.0,0.0
713.0,713,1.0,0.0
715.0,715,2.0,0.0
717.0,717,2.0,1.0
719.0,719,1.0,0.0
720.0,720,20.0,7.0
721.0,721,1.0,1.0
722.0,722,1.0,1.0
723.0,723,6.0,1.0
724.0,724,1.0,0.0
725.0,725,5.0,0.0
726.0,726,6.0,1.0
727.0,727,1.0,1.0
728.0,728,2.0,2.0
729.0,729,1.0,0.0
730.0,730,1.0,1.0
732.0,732,4.0,0.0
733.0,733,7.0,1.0
734.0,734,3.0,0.0
736.0,736,2.0,1.0
738.0,738,3.0,1.0
740.0,740,1.0,0.0
741.0,741,8.0,2.0
742.0,742,3.0,2.0
743.0,743,8.0,3.0
744.0,744,4.0,3.0
745.0,745,2.0,1.0
746.0,746,1.0,0.0
747.0,747,12.0,3.0
748.0,748,1.0,0.0
749.0,749,1.0,1.0
750.0,750,3.0,2.0
,751,0.0,1.0
752.0,752,1.0,0.0
753.0,753,4.0,2.0
754.0,754,5.0,2.0
755.0,755,2.0,0.0
756.0,756,3.0,0.0
,757,0.0,1.0
758.0,758,3.0,1.0
759.0,759,5.0,0.0
760.0,760,3.0,1.0
761.0,761,2.0,0.0
762.0,762,1.0,0.0
763.0,763,1.0,1.0
774.0,774,2.0,3.0
795.0,795,2.0,0.0
810.0,810,2.0,0.0
839.0,839,4.0,0.0
840.0,840,7.0,3.0
842.0,842,1.0,0.0
843.0,843,1.0,0.0
844.0,844,4.0,1.0
845.0,845,5.0,5.0
846.0,846,1.0,0.0
848.0,848,8.0,2.0
849.0,849,3.0,2.0
850.0,850,1.0,0.0
852.0,852,1.0,0.0
853.0,853,14.0,3.0
854.0,854,1.0,0.0
856.0,856,5.0,0.0
857.0,857,1.0,0.0
859.0,859,1.0,0.0
861.0,861,8.0,2.0
862.0,862,11.0,0.0
864.0,864,1.0,0.0
866.0,866,4.0,2.0
869.0,869,1.0,0.0
871.0,871,14.0,3.0
872.0,872,4.0,2.0
874.0,874,1.0,0.0
878.0,878,1.0,0.0
881.0,881,1.0,0.0
887.0,887,1.0,0.0
890.0,890,1.0,0.0
892.0,892,1.0,0.0
895.0,895,1.0,1.0
896.0,896,2.0,0.0
898.0,898,11.0,3.0
899.0,899,8.0,4.0
900.0,900,4.0,1.0
901.0,901,3.0,0.0
902.0,902,3.0,0.0
903.0,903,9.0,1.0
904.0,904,1.0,0.0
905.0,905,4.0,1.0
906.0,906,4.0,0.0
908.0,908,3.0,0.0
909.0,909,3.0,0.0
910.0,910,2.0,0.0
911.0,911,12.0,3.0
912.0,912,3.0,1.0
913.0,913,4.0,0.0
914.0,914,10.0,5.0
915.0,915,1.0,0.0
917.0,917,4.0,3.0
920.0,920,1.0,0.0
922.0,922,13.0,2.0
923.0,923,9.0,7.0
924.0,924,1.0,0.0
926.0,926,17.0,1.0
927.0,927,6.0,1.0
929.0,929,1.0,0.0
931.0,931,16.0,2.0
932.0,932,2.0,3.0
934.0,934,1.0,0.0
936.0,936,8.0,0.0
937.0,937,4.0,3.0
939.0,939,1.0,0.0
942.0,942,1.0,0.0
945.0,945,1.0,0.0
946.0,946,1.0,0.0
948.0,948,1.0,0.0
950.0,950,1.0,0.0
952.0,952,1.0,0.0
953.0,953,1.0,0.0
954.0,954,1.0,0.0
957.0,957,1.0,0.0
959.0,959,1.0,0.0
960.0,960,1.0,0.0
961.0,961,1.0,0.0
964.0,964,2.0,1.0
965.0,965,1.0,0.0
966.0,966,2.0,0.0
970.0,970,1.0,0.0
976.0,976,1.0,0.0
978.0,978,1.0,0.0
979.0,979,2.0,0.0
,983,0.0,1.0
986.0,986,1.0,0.0
988.0,988,1.0,0.0
990.0,990,1.0,0.0
991.0,991,1.0,0.0
994.0,994,1.0,0.0
996.0,996,1.0,0.0
997.0,997,1.0,1.0
998.0,998,1.0,0.0
1000.0,1000,1.0,0.0
1005.0,1005,1.0,0.0
,1009,0.0,1.0
1010.0,1010,1.0,0.0
1012.0,1012,1.0,0.0
1013.0,1013,1.0,0.0
1015.0,1015,1.0,0.0
1016.0,1016,1.0,0.0
1018.0,1018,3.0,0.0
1019.0,1019,1.0,0.0
1021.0,1021,1.0,0.0
1023.0,1023,1.0,0.0
1024.0,1024,1.0,0.0
1027.0,1027,1.0,0.0
1028.0,1028,1.0,0.0
1029.0,1029,1.0,0.0
1030.0,1030,7.0,2.0
1031.0,1031,2.0,1.0
1032.0,1032,1.0,0.0
1033.0,1033,23.0,11.0
1034.0,1034,1.0,1.0
1035.0,1035,8.0,1.0
1036.0,1036,39.0,8.0
1037.0,1037,21.0,5.0
1038.0,1038,9.0,2.0
1040.0,1040,3.0,0.0
1041.0,1041,12.0,1.0
1042.0,1042,2.0,0.0
1043.0,1043,5.0,0.0
1044.0,1044,3.0,2.0
1045.0,1045,35.0,6.0
1046.0,1046,3.0,0.0
1047.0,1047,8.0,0.0
1048.0,1048,7.0,0.0
1050.0,1050,2.0,1.0
1051.0,1051,48.0,6.0
1052.0,1052,1.0,1.0
1053.0,1053,2.0,1.0
1054.0,1054,6.0,1.0
1055.0,1055,1290.0,252.0
1056.0,1056,226.0,31.0
1057.0,1057,2.0,0.0
1058.0,1058,2.0,0.0
1059.0,1059,15.0,12.0
1060.0,1060,9.0,0.0
1061.0,1061,14.0,2.0
1062.0,1062,2.0,1.0
1063.0,1063,7.0,1.0
1064.0,1064,2.0,0.0
1065.0,1065,1.0,1.0
1066.0,1066,13.0,3.0
1067.0,1067,4.0,1.0
1068.0,1068,11.0,5.0
1069.0,1069,30.0,15.0
1070.0,1070,5.0,1.0
1071.0,1071,4.0,1.0
1072.0,1072,2.0,0.0
1073.0,1073,3.0,3.0
1074.0,1074,16.0,1.0
1075.0,1075,1.0,0.0
1076.0,1076,12.0,1.0
1077.0,1077,15.0,0.0
1078.0,1078,3.0,0.0
1080.0,1080,4.0,1.0
1081.0,1081,6.0,3.0
1082.0,1082,14.0,1.0
1083.0,1083,12.0,0.0
1084.0,1084,3.0,0.0
1085.0,1085,3.0,2.0
1087.0,1087,15.0,9.0
1088.0,1088,24.0,1.0
1089.0,1089,15.0,5.0
1090.0,1090,56.0,11.0
1091.0,1091,16.0,4.0
1092.0,1092,29.0,5.0
1093.0,1093,4.0,1.0
1094.0,1094,2.0,1.0
1095.0,1095,10.0,1.0
1096.0,1096,1.0,0.0
1097.0,1097,3.0,2.0
1098.0,1098,1.0,0.0
1099.0,1099,1.0,0.0
1100.0,1100,6.0,0.0
1101.0,1101,6.0,1.0
1103.0,1103,8.0,5.0
1104.0,1104,6.0,2.0
1105.0,1105,4.0,2.0
1106.0,1106,8.0,3.0
1107.0,1107,5.0,3.0
1108.0,1108,19.0,3.0
1109.0,1109,7.0,1.0
1110.0,1110,4.0,1.0
1111.0,1111,10.0,5.0
1112.0,1112,2.0,2.0
1113.0,1113,1.0,2.0
1114.0,1114,3.0,3.0
1116.0,1116,5.0,1.0
1117.0,1117,6.0,1.0
1118.0,1118,1.0,1.0
1119.0,1119,1.0,0.0
1120.0,1120,1.0,2.0
1121.0,1121,3.0,1.0
1122.0,1122,8.0,2.0
1123.0,1123,1.0,0.0
1124.0,1124,1.0,0.0
1126.0,1126,5.0,0.0
1127.0,1127,4.0,2.0
1128.0,1128,1.0,0.0
1130.0,1130,1.0,0.0
1131.0,1131,8.0,3.0
1132.0,1132,1.0,0.0
,1134,0.0,1.0
1135.0,1135,1.0,0.0
1136.0,1136,1.0,0.0
1138.0,1138,12.0,4.0
1139.0,1139,32.0,9.0
1140.0,1140,1.0,0.0
1142.0,1142,1.0,0.0
1143.0,1143,8.0,4.0
1144.0,1144,1.0,0.0
1146.0,1146,10.0,0.0
1147.0,1147,5.0,2.0
1149.0,1149,1.0,0.0
1150.0,1150,1.0,0.0
1151.0,1151,24.0,7.0
,1152,0.0,1.0
1153.0,1153,1.0,0.0
1154.0,1154,1.0,0.0
1155.0,1155,14.0,4.0
1156.0,1156,17.0,6.0
1158.0,1158,1.0,0.0
1160.0,1160,12.0,1.0
1161.0,1161,4.0,4.0
1163.0,1163,1.0,0.0
1165.0,1165,29.0,3.0
1166.0,1166,15.0,6.0
1167.0,1167,1.0,0.0
1169.0,1169,14.0,8.0
1170.0,1170,6.0,5.0
1171.0,1171,1.0,0.0
1172.0,1172,1.0,0.0
1173.0,1173,13.0,5.0
1174.0,1174,21.0,7.0
1175.0,1175,1.0,0.0
1180.0,1180,1.0,0.0
1182.0,1182,1.0,0.0
1184.0,1184,2.0,0.0
1187.0,1187,1.0,0.0
1188.0,1188,1.0,0.0
1193.0,1193,1.0,0.0
,1194,0.0,2.0
1195.0,1195,1.0,0.0
1196.0,1196,1.0,0.0
1198.0,1198,1.0,0.0
1201.0,1201,1.0,0.0
1202.0,1202,1.0,1.0
1203.0,1203,2.0,1.0
1204.0,1204,1.0,1.0
1205.0,1205,2.0,0.0
1206.0,1206,1.0,0.0
1207.0,1207,1.0,0.0
1208.0,1208,1.0,0.0
1209.0,1209,1.0,0.0
1210.0,1210,2.0,0.0
1217.0,1217,1.0,0.0
1222.0,1222,1.0,0.0
1228.0,1228,1.0,0.0
1229.0,1229,1.0,0.0
1230.0,1230,1.0,0.0
1234.0,1234,1.0,0.0
1237.0,1237,1.0,0.0
1239.0,1239,2.0,0.0
1240.0,1240,1.0,0.0
1242.0,1242,1.0,0.0
1246.0,1246,1.0,0.0
1247.0,1247,1.0,0.0
1249.0,1249,1.0,0.0
1252.0,1252,1.0,0.0
1253.0,1253,1.0,1.0
1256.0,1256,3.0,0.0
1257.0,1257,1.0,1.0
1258.0,1258,2.0,1.0
1263.0,1263,1.0,0.0
1264.0,1264,1.0,0.0
1266.0,1266,1.0,0.0
1267.0,1267,1.0,0.0
1268.0,1268,1.0,0.0
1278.0,1278,1.0,0.0
1289.0,1289,1.0,0.0
1290.0,1290,3.0,1.0
1295.0,1295,2.0,0.0
1305.0,1305,1.0,0.0
1318.0,1318,1.0,0.0
1319.0,1319,1.0,0.0
1320.0,1320,1.0,0.0
1321.0,1321,2.0,0.0
1322.0,1322,1.0,0.0
1346.0,1346,1.0,0.0
,1351,0.0,1.0
,1354,0.0,1.0
1355.0,1355,1.0,2.0
1356.0,1356,5.0,4.0
1357.0,1357,4.0,0.0
1358.0,1358,3.0,1.0
1359.0,1359,2.0,0.0
1361.0,1361,1.0,0.0
1362.0,1362,1.0,0.0
1364.0,1364,3.0,2.0
1365.0,1365,6.0,4.0
1366.0,1366,1.0,0.0
1367.0,1367,8.0,3.0
1369.0,1369,6.0,3.0
1370.0,1370,1.0,0.0
1371.0,1371,3.0,0.0
1372.0,1372,2.0,0.0
1373.0,1373,5.0,0.0
1374.0,1374,6.0,0.0
1378.0,1378,2.0,0.0
1379.0,1379,1.0,0.0
1380.0,1380,1.0,0.0
1381.0,1381,4.0,1.0
1382.0,1382,3.0,0.0
1383.0,1383,2.0,1.0
1384.0,1384,1.0,0.0
1385.0,1385,2.0,0.0
1386.0,1386,2.0,2.0
1389.0,1389,6.0,5.0
1390.0,1390,3.0,2.0
1392.0,1392,1.0,0.0
1393.0,1393,5.0,1.0
1395.0,1395,1.0,1.0
1396.0,1396,1.0,2.0
1398.0,1398,1.0,0.0
1399.0,1399,11.0,4.0
1400.0,1400,1.0,0.0
1401.0,1401,2.0,1.0
1402.0,1402,5.0,0.0
1404.0,1404,1.0,1.0
1405.0,1405,1.0,0.0
1406.0,1406,3.0,0.0
1407.0,1407,4.0,3.0
1408.0,1408,9.0,1.0
,1409,0.0,1.0
1410.0,1410,7.0,0.0
1411.0,1411,3.0,1.0
1413.0,1413,1.0,0.0
1414.0,1414,1.0,0.0
1415.0,1415,3.0,1.0
1416.0,1416,3.0,1.0
1417.0,1417,1.0,0.0
1418.0,1418,5.0,1.0
1420.0,1420,3.0,0.0
,1421,0.0,2.0
1422.0,1422,15.0,1.0
1423.0,1423,3.0,3.0
1424.0,1424,1.0,1.0
1425.0,1425,1.0,0.0
1426.0,1426,7.0,0.0
1428.0,1428,1.0,0.0
1429.0,1429,1.0,0.0
1430.0,1430,12.0,6.0
1431.0,1431,4.0,0.0
1432.0,1432,4.0,1.0
1433.0,1433,6.0,1.0
1434.0,1434,1.0,0.0
1436.0,1436,2.0,0.0
1437.0,1437,2.0,0.0
1438.0,1438,1.0,0.0
1439.0,1439,1.0,0.0
1442.0,1442,4.0,1.0
1443.0,1443,3.0,1.0
1444.0,1444,5.0,0.0
1446.0,1446,1.0,0.0
1447.0,1447,1.0,0.0
1448.0,1448,2.0,0.0
1449.0,1449,1.0,0.0
1450.0,1450,1.0,3.0
1451.0,1451,1.0,0.0
1452.0,1452,4.0,0.0
1453.0,1453,6.0,3.0
1455.0,1455,1.0,1.0
1456.0,1456,2.0,0.0
1457.0,1457,3.0,0.0
1458.0,1458,2.0,0.0
1461.0,1461,7.0,0.0
,1463,0.0,2.0
1464.0,1464,2.0,0.0
1465.0,1465,1.0,0.0
1466.0,1466,5.0,0.0
1467.0,1467,3.0,0.0
1468.0,1468,15.0,2.0
1469.0,1469,5.0,1.0
1470.0,1470,5.0,1.0
1471.0,1471,2.0,1.0
1472.0,1472,5.0,0.0
1473.0,1473,1.0,0.0
1476.0,1476,4.0,1.0
1477.0,1477,2.0,2.0
1478.0,1478,19.0,3.0
1479.0,1479,5.0,1.0
1480.0,1480,5.0,1.0
1482.0,1482,6.0,1.0
1483.0,1483,5.0,2.0
1484.0,1484,7.0,3.0
1485.0,1485,1.0,1.0
1486.0,1486,3.0,2.0
1487.0,1487,3.0,1.0
1488.0,1488,2.0,0.0
1489.0,1489,6.0,0.0
1491.0,1491,1.0,0.0
1492.0,1492,4.0,0.0
1493.0,1493,1.0,0.0
1494.0,1494,1.0,0.0
1495.0,1495,1.0,1.0
1496.0,1496,4.0,0.0
1497.0,1497,2.0,1.0
1499.0,1499,4.0,2.0
1500.0,1500,2.0,0.0
1501.0,1501,5.0,0.0
1506.0,1506,1.0,0.0
1508.0,1508,3.0,0.0
1510.0,1510,1.0,0.0
1512.0,1512,28.0,5.0
1513.0,1513,24.0,10.0
1514.0,1514,1.0,0.0
1515.0,1515,1.0,0.0
1516.0,1516,24.0,1.0
1517.0,1517,37.0,9.0
1518.0,1518,1.0,0.0
1522.0,1522,1.0,0.0
1523.0,1523,1.0,0.0
1527.0,1527,1.0,0.0
1529.0,1529,1.0,0.0
1533.0,1533,1.0,0.0
1537.0,1537,1.0,0.0
,1542,0.0,1.0
1544.0,1544,1.0,0.0
1545.0,1545,1.0,0.0
1546.0,1546,1.0,1.0
1548.0,1548,1.0,0.0
1549.0,1549,1.0,0.0
1551.0,1551,1.0,0.0
1552.0,1552,1.0,0.0
1555.0,1555,1.0,0.0
1557.0,1557,2.0,0.0
1560.0,1560,2.0,0.0
1562.0,1562,1.0,0.0
1564.0,1564,1.0,0.0
1565.0,1565,1.0,0.0
1567.0,1567,2.0,0.0
1568.0,1568,1.0,0.0
,1571,0.0,1.0
1574.0,1574,1.0,0.0
1576.0,1576,1.0,0.0
1585.0,1585,1.0,0.0
1590.0,1590,1.0,0.0
1591.0,1591,1.0,0.0
1592.0,1592,1.0,0.0
1595.0,1595,1.0,0.0
1599.0,1599,1.0,0.0
1613.0,1613,1.0,0.0
1616.0,1616,1.0,0.0
1622.0,1622,1.0,1.0
1625.0,1625,1.0,0.0
1631.0,1631,1.0,0.0
1638.0,1638,2.0,0.0
1641.0,1641,1.0,0.0
1643.0,1643,1.0,0.0
1645.0,1645,1.0,0.0
,1646,0.0,1.0
1647.0,1647,1.0,0.0
1654.0,1654,1.0,0.0
1658.0,1658,2.0,0.0
1660.0,1660,1.0,0.0
1665.0,1665,2.0,0.0
1667.0,1667,1.0,1.0
1671.0,1671,2.0,0.0
1677.0,1677,1.0,0.0
1679.0,1679,1.0,0.0
1681.0,1681,1.0,0.0
1694.0,1694,1.0,0.0
1695.0,1695,1.0,0.0
1701.0,1701,1.0,0.0
1705.0,1705,1.0,0.0
1706.0,1706,1.0,0.0
1709.0,1709,2.0,0.0
1710.0,1710,1.0,0.0
1715.0,1715,1.0,0.0
1725.0,1725,1.0,0.0
1727.0,1727,1.0,0.0
1728.0,1728,1.0,0.0
1729.0,1729,1.0,0.0
1731.0,1731,1.0,0.0
1734.0,1734,2.0,0.0
1738.0,1738,2.0,0.0
