,adjective,word,cosine_similarity,category
0,key,woman,0.10117103,feminine
1,key,women,-0.06202979,feminine
2,key,girl,0.21708353,feminine
3,key,girls,0.26465002,feminine
4,historic,woman,0.020569762,feminine
5,historic,women,-0.169222,feminine
6,historic,girl,0.0030668322,feminine
7,historic,girls,0.14833081,feminine
8,influential,woman,0.46552244,feminine
9,influential,women,0.5767142,feminine
10,influential,girl,0.6883882,feminine
11,influential,girls,0.77304626,feminine
12,notable,woman,0.4867131,feminine
13,notable,women,0.56683385,feminine
14,notable,girl,0.77140355,feminine
15,notable,girls,0.8199147,feminine
16,significant,woman,0.31305972,feminine
17,significant,women,0.37435675,feminine
18,significant,girl,0.55103374,feminine
19,significant,girls,0.62473285,feminine
20,successful,woman,0.22943091,feminine
21,successful,women,0.6422752,feminine
22,successful,girl,0.6879884,feminine
23,successful,girls,0.7051459,feminine
24,major,woman,0.2483385,feminine
25,major,women,0.43916482,feminine
26,major,girl,0.44585946,feminine
27,major,girls,0.5071336,feminine
28,distinctive,woman,0.46412247,feminine
29,distinctive,women,0.2791407,feminine
30,distinctive,girl,0.57572395,feminine
31,distinctive,girls,0.68294245,feminine
0,key,man,0.05501905,masculine
1,key,men,0.054343455,masculine
2,key,boy,0.20272972,masculine
3,key,boys,0.3920582,masculine
4,historic,man,-0.124435194,masculine
5,historic,men,-0.0620132,masculine
6,historic,boy,0.08028329,masculine
7,historic,boys,0.2504282,masculine
8,influential,man,0.37966835,masculine
9,influential,men,0.5390804,masculine
10,influential,boy,0.63764584,masculine
11,influential,boys,0.7950529,masculine
12,notable,man,0.33506408,masculine
13,notable,men,0.54595953,masculine
14,notable,boy,0.68239397,masculine
15,notable,boys,0.83955896,masculine
16,significant,man,0.17126556,masculine
17,significant,men,0.38011864,masculine
18,significant,boy,0.5025,masculine
19,significant,boys,0.7081133,masculine
20,successful,man,0.120216206,masculine
21,successful,men,0.3289274,masculine
22,successful,boy,0.4555438,masculine
23,successful,boys,0.7047998,masculine
24,major,man,0.13394682,masculine
25,major,men,0.28011355,masculine
26,major,boy,0.39346552,masculine
27,major,boys,0.5294081,masculine
28,distinctive,man,0.32623768,masculine
29,distinctive,men,0.39150995,masculine
30,distinctive,boy,0.59891534,masculine
31,distinctive,boys,0.7406732,masculine
