,adjective,word,cosine_similarity,category
0,key,woman,0.14119078,feminine
1,key,women,-0.0069181556,feminine
2,key,girl,0.27961108,feminine
3,key,girls,0.37063795,feminine
4,historic,woman,0.094655074,feminine
5,historic,women,-0.116385795,feminine
6,historic,girl,0.12985715,feminine
7,historic,girls,0.3108352,feminine
8,influential,woman,0.5160537,feminine
9,influential,women,0.5484654,feminine
10,influential,girl,0.7544979,feminine
11,influential,girls,0.84842336,feminine
12,notable,woman,0.52063453,feminine
13,notable,women,0.552655,feminine
14,notable,girl,0.80632377,feminine
15,notable,girls,0.83894765,feminine
16,significant,woman,0.40904135,feminine
17,significant,women,0.40642542,feminine
18,significant,girl,0.63827,feminine
19,significant,girls,0.73748803,feminine
20,successful,woman,0.32566312,feminine
21,successful,women,0.5938911,feminine
22,successful,girl,0.7707465,feminine
23,successful,girls,0.80386394,feminine
24,major,woman,0.32561556,feminine
25,major,women,0.47057682,feminine
26,major,girl,0.5668238,feminine
27,major,girls,0.6654065,feminine
28,distinctive,woman,0.5259739,feminine
29,distinctive,women,0.16568962,feminine
30,distinctive,girl,0.6204457,feminine
31,distinctive,girls,0.7324191,feminine
32,remarkable,woman,0.51997346,feminine
33,remarkable,women,0.42265517,feminine
34,remarkable,girl,0.7801348,feminine
35,remarkable,girls,0.81316483,feminine
0,key,man,0.100253426,masculine
1,key,men,0.13730054,masculine
2,key,boy,0.2778211,masculine
3,key,boys,0.44140825,masculine
4,historic,man,-0.059698902,masculine
5,historic,men,0.026653944,masculine
6,historic,boy,0.17584483,masculine
7,historic,boys,0.31335828,masculine
8,influential,man,0.4225353,masculine
9,influential,men,0.60802853,masculine
10,influential,boy,0.7139176,masculine
11,influential,boys,0.85177404,masculine
12,notable,man,0.36027086,masculine
13,notable,men,0.5811396,masculine
14,notable,boy,0.7215217,masculine
15,notable,boys,0.8376403,masculine
16,significant,man,0.24632154,masculine
17,significant,men,0.48127362,masculine
18,significant,boy,0.61499006,masculine
19,significant,boys,0.7880136,masculine
20,successful,man,0.24011824,masculine
21,successful,men,0.42586082,masculine
22,successful,boy,0.5827928,masculine
23,successful,boys,0.816916,masculine
24,major,man,0.2210067,masculine
25,major,men,0.4002363,masculine
26,major,boy,0.49202788,masculine
27,major,boys,0.5943629,masculine
28,distinctive,man,0.39884713,masculine
29,distinctive,men,0.49320784,masculine
30,distinctive,boy,0.66382265,masculine
31,distinctive,boys,0.75663275,masculine
32,remarkable,man,0.4194052,masculine
33,remarkable,men,0.58238995,masculine
34,remarkable,boy,0.72512144,masculine
35,remarkable,boys,0.88141614,masculine
