,adjective,word,cosine_similarity,category
29,distinctive,women,0.19763912,feminine
28,distinctive,man,0.32150123,masculine
29,distinctive,men,0.37621257,masculine
28,distinctive,woman,0.45171496,feminine
30,distinctive,girl,0.4653751,feminine
30,distinctive,boy,0.55481005,masculine
31,distinctive,girls,0.6017602,feminine
31,distinctive,boys,0.69126916,masculine
5,historic,women,-0.097065054,feminine
4,historic,man,-0.030595228,masculine
5,historic,men,0.04593773,masculine
6,historic,girl,0.059402708,feminine
4,historic,woman,0.10252341,feminine
6,historic,boy,0.17524514,masculine
7,historic,girls,0.20560555,feminine
7,historic,boys,0.3678399,masculine
8,influential,man,0.33355513,masculine
8,influential,woman,0.44631952,feminine
9,influential,men,0.4971186,masculine
9,influential,women,0.565496,feminine
10,influential,boy,0.6073439,masculine
10,influential,girl,0.6939231,feminine
11,influential,girls,0.7888785,feminine
11,influential,boys,0.85625345,masculine
1,key,women,-0.10203707,feminine
1,key,men,-0.018998142,masculine
0,key,man,0.011973537,masculine
0,key,woman,0.049443204,feminine
2,key,girl,0.059314027,feminine
2,key,boy,0.1361288,masculine
3,key,girls,0.16501309,feminine
3,key,boys,0.37386128,masculine
24,major,man,0.038446415,masculine
25,major,men,0.15863863,masculine
24,major,woman,0.1788151,feminine
26,major,boy,0.29086888,masculine
26,major,girl,0.38194653,feminine
27,major,girls,0.463202,feminine
25,major,women,0.4715727,feminine
27,major,boys,0.52198863,masculine
12,notable,man,0.33041617,masculine
12,notable,woman,0.47623995,feminine
13,notable,women,0.5356237,feminine
13,notable,men,0.5414079,masculine
14,notable,boy,0.6569901,masculine
14,notable,girl,0.76237226,feminine
15,notable,girls,0.8186027,feminine
15,notable,boys,0.8464956,masculine
16,significant,man,0.18217042,masculine
16,significant,woman,0.32728544,feminine
17,significant,women,0.37325013,feminine
17,significant,men,0.37425116,masculine
18,significant,boy,0.48948923,masculine
18,significant,girl,0.51010543,feminine
19,significant,girls,0.622394,feminine
19,significant,boys,0.75431633,masculine
20,successful,man,0.20583718,masculine
20,successful,woman,0.28424352,feminine
21,successful,men,0.37680984,masculine
22,successful,boy,0.49598372,masculine
21,successful,women,0.55636555,feminine
22,successful,girl,0.66778195,feminine
23,successful,girls,0.722428,feminine
23,successful,boys,0.79403734,masculine
